size,avg_sub_dur(us)
32,0.9575621999999999
64,0.9393037
96,0.9396962
128,0.9405623999999999
160,0.9378930000000001
192,0.9557144
224,0.9492679
256,0.9384374
288,0.9609911
320,0.9465892
352,0.9578483
384,0.9541251
416,0.9477145
448,0.9589999
480,0.9539999
512,0.9476877
544,0.9527321000000001
576,0.9676696
608,0.9698392
640,0.9658481
672,0.9664197
704,0.9622676
736,0.9593035000000001
768,0.9741337
800,0.9585623999999999
832,0.9677142
864,0.9478304
896,0.94858
928,0.947125
960,0.9494108000000001
992,0.9474373999999999
1024,0.9855802
1056,1.3588659
1088,1.3918571
1120,1.360134
1152,1.3725624
1184,1.3481251
1216,1.372991
1248,1.4064374000000002
1280,1.3791429000000002
1312,1.3682766000000002
1344,1.3598390999999999
1376,1.379991
1408,1.3542948000000001
1440,1.3818659
1472,1.3861515
1504,1.3611428
1536,1.363
1568,1.3902767
1600,1.3760088
1632,1.3735981000000002
1664,1.387866
1696,1.3621159999999999
1728,1.348402
1760,1.356268
1792,1.3835356
1824,1.3728390000000001
1856,1.379866
1888,1.359134
1920,1.3497054
1952,1.3635269
1984,1.3482858
2016,1.3615534999999999
2048,1.3591342000000002
2080,1.3992768
2112,1.3743216
2144,1.3654108
2176,1.3994286
2208,1.3947143
2240,1.3987233
2272,1.3744289
2304,1.3805980999999998
2336,1.3868481000000001
2368,1.3843038
2400,1.407018
2432,1.3856964999999999
2464,1.3861338
2496,1.3828212
2528,1.3611520000000001
2560,1.3937055
2592,1.3841608
2624,1.3993214999999999
2656,1.3874283
2688,1.3907232999999999
2720,1.3630357
2752,1.3855805
2784,1.3745623999999999
2816,1.3644284
2848,1.3674466
2880,1.3804107
2912,1.3982944
2944,1.3834284000000001
2976,1.3799642
3008,1.3887053
3040,1.4030268000000001
3072,1.3821608
3104,1.4126874
3136,1.3980178
3168,1.3981784000000002
3200,1.3950089
3232,1.381116
3264,1.3674106
3296,1.3884107
3328,1.4347232
3360,1.3782587
3392,1.3712855
3424,1.3778479000000001
3456,1.3728837
3488,1.4105357
3520,1.3655984
3552,1.3718302
3584,1.3824285
3616,1.4077051
3648,1.3691429
3680,1.372125
3712,1.4185268
3744,1.3861252
3776,1.4037234
3808,1.3688568
3840,1.3838749
3872,1.3929911000000001
3904,1.3718482
3936,1.4162679
3968,1.3951518
4000,1.3705446000000001
4032,1.4047234
4064,1.3835803
4096,1.3605626000000002
