operation_name ,input_dim_0 ,input_dim_1 ,input_dim_2 ,size    ,computation_mean
add            ,         12 ,          1 ,          1 ,     12 , 0.8522768000000001
add            ,          1 ,         11 ,          1 ,     11 , 0.8522856000000001
add            ,          4 ,          7 ,          1 ,     28 , 0.8968481
add            ,          1 ,         72 ,          1 ,     72 , 0.8520091000000001
add            ,      25847 ,          1 ,          1 ,  25847 , 1.4084375
add            ,         52 ,          1 ,          1 ,     52 , 0.8545891000000001
add            ,        108 ,          7 ,         13 ,   9828 , 1.2093037
add            ,          3 ,          3 ,          1 ,      9 , 0.8648747999999999
add            ,         83 ,         10 ,          4 ,   3320 , 1.0923036
add            ,          3 ,          2 ,          3 ,     18 , 0.943268
add            ,        103 ,         83 ,          1 ,   8549 , 1.0971781999999999
add            ,      23644 ,          1 ,          1 ,  23644 , 1.3407320999999999
add            ,          3 ,         12 ,          5 ,    180 , 1.0102679
add            ,         12 ,          4 ,          3 ,    144 , 0.9662947
add            ,       6024 ,          1 ,          1 ,   6024 , 1.0191249999999998
add            ,       8644 ,          1 ,          1 ,   8644 , 1.1358572
add            ,          8 ,          8 ,          3 ,    192 , 0.9473122
add            ,         95 ,          1 ,          1 ,     95 , 0.8521607000000001
add            ,          6 ,          7 ,         11 ,    462 , 1.0297052
add            ,         16 ,          3 ,          4 ,    192 , 0.9665893000000001
add            ,       4075 ,          3 ,          1 ,  12225 , 1.3848568
add            ,         21 ,         13 ,         22 ,   6006 , 1.6894106
add            ,          2 ,        414 ,          1 ,    828 , 0.9388837999999999
add            ,          1 ,       1597 ,          1 ,   1597 , 1.1102679999999998
add            ,        887 ,        877 ,          1 , 777899 ,14.9344108
add            ,         47 ,          3 ,          1 ,    141 , 0.8476785
add            ,          6 ,          1 ,          1 ,      6 , 0.8522767000000002
add            ,        242 ,         12 ,         68 , 197472 , 4.8387234
add            ,     432266 ,          1 ,          1 , 432266 , 8.571276600000001
add            ,      99533 ,          1 ,          1 ,  99533 , 2.7060178
add            ,          1 ,       2566 ,          1 ,   2566 , 1.2371519
add            ,       2162 ,         16 ,         15 , 518880 ,10.1486875
add            ,         24 ,          3 ,        213 ,  15336 , 1.2713033999999999
add            ,       2238 ,        241 ,          1 , 539358 ,11.1082855
add            ,          4 ,       2153 ,          1 ,   8612 , 1.1807232
add            ,         19 ,          2 ,          5 ,    190 , 0.9687144
add            ,     116284 ,          1 ,          1 , 116284 , 3.0580002000000004
add            ,         13 ,          1 ,          1 ,     13 , 0.852402
add            ,        786 ,          1 ,          1 ,    786 , 0.8645890999999999
add            ,        134 ,        350 ,          1 ,  46900 , 1.9215446
add            ,          5 ,         24 ,         20 ,   2400 , 1.2042949
add            ,          7 ,      12813 ,          1 ,  89691 , 2.7127141
add            ,     338311 ,          1 ,          1 , 338311 , 6.864428799999999
add            ,          4 ,         15 ,          5 ,    300 , 1.0391252
add            ,      79109 ,          1 ,          1 ,  79109 , 2.3193036
add            ,          1 ,         14 ,          1 ,     14 , 0.8534374999999998
add            ,         63 ,          7 ,          2 ,    882 , 0.9855357
add            ,         28 ,          1 ,          1 ,     28 , 0.8575894000000002
add            ,         11 ,          1 ,          1 ,     11 , 0.8672769
add            ,         23 ,          1 ,          1 ,     23 , 0.8529912000000002
add            ,          3 ,         14 ,         10 ,    420 , 1.098875
add            ,          9 ,          2 ,          3 ,     54 , 0.9451249
add            ,          5 ,          2 ,         43 ,    430 , 0.9771429000000001
add            ,         71 ,          4 ,          7 ,   1988 , 0.9998481
add            ,        101 ,          2 ,          1 ,    202 , 0.8522771
add            ,         39 ,          1 ,          1 ,     39 , 0.8526786
add            ,         10 ,          5 ,          2 ,    100 , 0.9877054
add            ,         86 ,          1 ,          1 ,     86 , 0.8650092
add            ,          3 ,         55 ,          3 ,    495 , 0.9327055
add            ,        343 ,          1 ,          1 ,    343 , 0.8808484999999999
add            ,          6 ,          7 ,          8 ,    336 , 1.0255447
add            ,        449 ,          1 ,          1 ,    449 , 0.9067141000000001
add            ,      19022 ,          1 ,          1 ,  19022 , 1.2774465000000002
add            ,         11 ,          5 ,         11 ,    605 , 1.1274284999999997
add            ,       1454 ,          1 ,          1 ,   1454 , 0.9225535
add            ,          7 ,          7 ,          6 ,    294 , 1.0120089
add            ,          7 ,         32 ,         40 ,   8960 , 1.427
add            ,        152 ,       4558 ,          1 , 692816 ,13.309598500000002
add            ,         26 ,        142 ,         13 ,  47996 , 2.8655625
add            ,      25503 ,          1 ,          1 ,  25503 , 1.3917232
add            ,        187 ,        145 ,          1 ,  27115 , 1.6684376999999997
add            ,        316 ,          4 ,          6 ,   7584 , 1.171027
