operation_name,input_dim_0,input_dim_1,input_dim_2,size,computation_mean
relu,6,2,15,180,0.9272857
relu,74,1,1,74,0.8473212
relu,1,169,1,169,0.8886963999999999
relu,1,5,1,5,0.8482764999999999
relu,2,8,2,32,0.8727139999999999
relu,5,27,1,135,0.8624285
relu,905211,1,1,905211,10.395580500000001
relu,443,1,1,443,0.8739912999999999
relu,1716932,1,1,1716932,18.807009
relu,306,1,1,306,0.8634377000000001
relu,21,7,3,441,0.9154466000000001
relu,1,1836144,1,1836144,133.0059911
relu,126885,1,1,126885,2.4862946999999997
relu,5,6,19,570,0.9722949
relu,19426,1,1,19426,1.1505983
relu,351,1,1,351,0.8478926
relu,1957815,1,1,1957815,21.310999899999995
relu,313,1,1,313,0.8481607999999999
relu,134,2,1711,458548,18.5905714
relu,60,1,1,60,0.8437230999999998
relu,832,1,1,832,0.8495893999999999
relu,340246,18,1,6124428,75.35416969999999
relu,3,5,1127,16905,1.4922856000000002
relu,47,3,2740,386340,5.9009821
relu,135070,1,1,135070,2.5997502
relu,33,14,8,3696,1.0761786
relu,1,602,1,602,0.9390355000000001
relu,3,5,3,45,0.8998839000000001
relu,6,85,36,18360,1.2650265
relu,53,12,10,6360,1.1827231
relu,5202,1,1,5202,0.9538838000000002
relu,2,391238,1,782476,29.0532945
relu,27,30,15,12150,1.6499998999999999
relu,6,2,37,444,0.9468838999999999
relu,77,75,1,5775,1.0190088
relu,18,1,1,18,0.8398394
relu,22,7,1,154,0.9090265999999998
relu,56827,1,1,56827,1.629134
relu,1,6337,1,6337,1.3794106000000004
relu,47757,1,1,47757,1.5256964
relu,4,5,372,7440,1.1102589000000003
relu,2,18,10,360,0.9768839
relu,28,3,5,420,0.9535984000000001
relu,52,285,1,14820,1.1899643
relu,4718984,1,1,4718984,45.3471162
relu,26,3,30,2340,1.0525535
relu,10,92,3,2760,0.9715714
relu,10,3,10,300,1.0236965000000002
relu,974,122,13,1544764,18.308134000000003
relu,837171,1,1,837171,9.712848300000001
relu,680,1,1,680,0.8664552999999999
relu,1,13474039,1,13474039,960.6361338
relu,318506,1,1,318506,4.851410700000001
relu,15470650,1,1,15470650,138.5052769
relu,6,19,1,114,0.8715984000000001
relu,151220,15,1,2268300,24.4265713
relu,1394,1,1,1394,0.9234019
relu,6,2002,1,12012,1.1161252
relu,459,1,1,459,0.8563213
relu,3,1347,1,4041,1.0298484
relu,318,16802,1,5343036,51.0295716
relu,27,1,1,27,0.8427052999999999
relu,13,30,6,2340,1.0131245999999998
relu,36,175,42,264600,6.1925802
relu,3,37,3,333,0.8988752
relu,7,213,1,1491,0.9027052000000001
relu,7,7,8,392,0.9814198
relu,14,1,1,14,0.8522677999999999
relu,7447335,1,1,7447335,69.4012944
relu,2129749,1,1,2129749,23.033285799999998
relu,497222,1,1,497222,7.044446599999999
relu,28311,1,1,28311,1.2185711000000001
relu,10,1,1,10,0.8391605
relu,13,17,3,663,0.9525625999999999
relu,30,3,584,52560,1.6811607
relu,3,2,17,102,0.9008571999999999
relu,20,1,1,20,0.8393839
relu,9,5,106,4770,1.0166961
relu,7,3,2,42,0.9142501
relu,685,1,1,685,0.8658749
relu,46,1414,1,65044,1.8388663
relu,2,9,9,162,0.9707320000000002
relu,1043,426,1,444318,7.0166873999999995
relu,2,2,4,16,0.8812764999999999
relu,48,1,1,48,0.847143
relu,538,1,1,538,0.8618840000000001
relu,968594,1,1,968594,11.0574465
relu,42,1,1,42,0.8397321
relu,7942,1,1,7942,0.9532588000000001
relu,99,1,1,99,0.8400088
relu,173,6,1,1038,0.9597234000000002
relu,8020,5,1,40100,1.717875
relu,2,7,8,112,0.9809911999999998
relu,295,2801,1,826295,11.1414018
relu,22486,1,1,22486,1.1944198
relu,411,55,1,22605,1.2438660000000001
relu,2,754599,1,1509198,54.49442869999999
relu,23,3,4,276,0.9004195999999999
relu,716,11,1,7876,1.074
relu,1,56911,1,56911,5.4304197
relu,21,2,6,252,0.953866
relu,14,38,42,22344,1.8212857
relu,1,11,1,11,0.8662770999999999
relu,7256786,1,1,7256786,67.68341960000001
relu,1,142263,1,142263,11.663455500000001
relu,436,1,1,436,0.8498661000000001
relu,43,6,2,516,0.9388390000000001
relu,5,4,5,100,0.9333037000000001
relu,983275,1,1,983275,11.1870177
relu,123248,1,1,123248,2.5575446
relu,50,305,1,15250,1.1754553
relu,1,1246654,1,1246654,91.259277
relu,9,5,3,135,0.9338749
relu,2,2,69,276,0.8800089
relu,58444,1,1,58444,1.6695713
relu,3,3,8,72,0.9331338
relu,29,25,1,725,0.9364288000000001
relu,2257,1,1,2257,0.9208481
relu,4,5,16,320,0.9444375
relu,9,137,21,25893,1.6158213
relu,11405,2,1,22810,1.7771161
relu,3,14,8,336,0.9401608999999999
relu,1,13,1,13,0.8395535000000001
relu,1,1526942,1,1526942,111.36086600000002
relu,9,4195,1,37755,1.7204197
relu,295583,1,1,295583,4.6049910999999994
relu,8,61259,1,490072,7.001982299999999
relu,511,22376,1,11434136,107.43572319999998
relu,424,1,1,424,0.8523212999999998
relu,1,3464431,1,3464431,248.9655803
relu,1,331,1,331,0.9084287
relu,4,4,3,48,0.9350091
relu,2,4,1,8,0.8418574999999999
relu,1,808455,1,808455,59.9409911
relu,74,137,1,10138,1.1293035999999999
relu,1,17,1,17,0.8412767999999999
relu,3,2,7,42,0.9075715000000001
relu,169,1,1,169,0.8569910999999999
