operation_name,input_dim_0,input_dim_1,input_dim_2,size,computation_mean
mul,1,5,1,5,0.8542677000000001
mul,2,8,2,32,0.8855534
mul,5,27,1,135,0.8795892000000001
mul,905211,1,1,905211,16.9121249
mul,443,1,1,443,0.8777321
mul,1716932,1,1,1716932,31.1673037
mul,306,1,1,306,0.8610089000000001
mul,21,7,3,441,0.9791425999999998
mul,1,1836144,1,1836144,185.25474110000002
mul,126885,1,1,126885,3.1947051999999996
mul,5,6,19,570,0.9945805
mul,19426,1,1,19426,1.2892857
mul,351,1,1,351,0.8774642
mul,1957815,1,1,1957815,35.340705400000004
mul,313,1,1,313,0.8849999000000001
mul,134,2,1711,458548,26.978276799999996
mul,60,1,1,60,0.8564285999999999
mul,832,1,1,832,0.9376966000000001
mul,340246,18,1,6124428,101.9278391
mul,3,5,1127,16905,1.7012858999999998
mul,47,3,2740,386340,8.1198574
mul,135070,1,1,135070,3.3650355
mul,33,14,8,3696,1.2048571
mul,1,602,1,602,0.9851426
mul,3,5,3,45,0.9227053000000002
mul,6,85,36,18360,1.4354288
mul,53,12,10,6360,1.2948483000000002
mul,5202,1,1,5202,0.9958214000000002
mul,2,391238,1,782476,40.276714399999996
mul,27,30,15,12150,1.95675
mul,6,2,37,444,0.9708395000000001
mul,77,75,1,5775,1.0864286
mul,18,1,1,18,0.8528836999999999
mul,22,7,1,154,0.9425625
mul,56827,1,1,56827,1.9900359
mul,1,6337,1,6337,1.6005714000000002
mul,47757,1,1,47757,1.7851695999999997
mul,4,5,372,7440,1.2099730999999998
mul,2,18,10,360,1.0237143
mul,28,3,5,420,0.9894196
mul,52,285,1,14820,1.3480178999999999
mul,4718984,1,1,4718984,59.93270539999999
mul,26,3,30,2340,1.1521071
mul,10,92,3,2760,1.0280178999999998
mul,10,3,10,300,1.0705626999999998
mul,974,122,13,1544764,30.076759
mul,837171,1,1,837171,15.750705499999999
mul,680,1,1,680,0.9232854999999999
mul,1,13474039,1,13474039,1353.1308663
mul,318506,1,1,318506,6.589133800000001
mul,15470650,1,1,15470650,190.3146965
mul,6,19,1,114,0.9916786999999999
mul,151220,15,1,2268300,31.833705400000003
mul,1394,1,1,1394,0.9188481
mul,6,2002,1,12012,1.2548570000000001
mul,459,1,1,459,0.8778751
mul,3,1347,1,4041,1.0739824000000002
mul,318,16802,1,5343036,68.26374129999999
mul,27,1,1,27,0.8595534
mul,13,30,6,2340,1.1498661000000001
mul,36,175,42,264600,8.5536786
mul,3,37,3,333,0.9230091
mul,7,213,1,1491,0.9253034
mul,7,7,8,392,1.0294197
mul,14,1,1,14,0.8531337999999999
mul,7447335,1,1,7447335,93.0823035
mul,2129749,1,1,2129749,28.014982300000003
mul,497222,1,1,497222,9.690455400000001
mul,28311,1,1,28311,1.4451518
mul,10,1,1,10,0.8533035
mul,13,17,3,663,1.0172857
mul,30,3,584,52560,2.0801429
mul,3,2,17,102,0.9385714000000002
mul,20,1,1,20,0.8524286
mul,9,5,106,4770,1.0761696
mul,7,3,2,42,0.9278661000000001
mul,685,1,1,685,0.9202767000000002
mul,46,1414,1,65044,2.2700178
mul,2,9,9,162,1.0218394
mul,1043,426,1,444318,9.776134099999998
mul,2,2,4,16,0.8922946000000002
mul,48,1,1,48,0.8531517000000001
mul,538,1,1,538,0.9202680000000001
mul,968594,1,1,968594,18.0064286
mul,42,1,1,42,0.8705624999999999
mul,7942,1,1,7942,1.0437499
mul,99,1,1,99,0.8534820000000002
mul,173,6,1,1038,0.9568303
mul,8020,5,1,40100,2.1262591
mul,2,7,8,112,0.9869641999999998
mul,295,2801,1,826295,15.6152768
mul,22486,1,1,22486,1.3535267
mul,411,55,1,22605,1.4044284
mul,2,754599,1,1509198,77.0762589
mul,23,3,4,276,0.9177411
mul,716,11,1,7876,1.1149913
mul,1,56911,1,56911,7.1504018
mul,21,2,6,252,0.9762677999999999
mul,14,38,42,22344,2.2110000000000003
mul,1,11,1,11,0.8527503000000001
mul,7256786,1,1,7256786,90.71883949999999
mul,1,142263,1,142263,16.3562858
mul,436,1,1,436,0.8757054
mul,43,6,2,516,0.9646605000000001
mul,5,4,5,100,0.9731785999999998
mul,983275,1,1,983275,18.313732199999997
mul,123248,1,1,123248,3.1392679
mul,50,305,1,15250,1.4030176
