Metric,Value
R-squared,0.9985773920561537
Correlation,0.9992884428713033
P-value,0.0
RMSE (μs),4.628618733792916
MAE (μs),3.349292380477758
Slope,1.3449874498130171e-05
Intercept,13.01276449646339
