kernel_name,event_type,event_name,dur(us)
"layer_norm_(2,128,512)",main,jit_kernel_with_params(13884429532970120016),6.991429
"layer_norm_(2,128,512)",main,jit_kernel_with_params(13884429532970120016),6.977232
"layer_norm_(2,128,512)",main,jit_kernel_with_params(13884429532970120016),7.211429
"layer_norm_(2,128,512)",main,jit_kernel_with_params(13884429532970120016),7.199911
"layer_norm_(2,128,512)",main,jit_kernel_with_params(13884429532970120016),7.208571
"layer_norm_(2,128,512)",main,jit_kernel_with_params(13884429532970120016),6.968482
"layer_norm_(2,128,512)",main,jit_kernel_with_params(13884429532970120016),7.134375
"layer_norm_(2,128,512)",main,jit_kernel_with_params(13884429532970120016),6.96
"layer_norm_(2,128,512)",main,jit_kernel_with_params(13884429532970120016),6.971339
"layer_norm_(2,128,512)",main,jit_kernel_with_params(13884429532970120016),6.962768
"layer_norm_(2,128,512)",sub,copy-start,0.001517
"layer_norm_(2,128,512)",sub,convert_reduce_fusion,2.321518
"layer_norm_(2,128,512)",sub,fusion.4,0.364375
"layer_norm_(2,128,512)",sub,copy-done,0.009911
"layer_norm_(2,128,512)",sub,fusion.1,1.885715
"layer_norm_(2,128,512)",sub,fusion.3,0.381339
"layer_norm_(2,128,512)",sub,divide_convert_fusion,1.918571
"layer_norm_(2,128,512)",sub,copy-start,0.001518
"layer_norm_(2,128,512)",sub,convert_reduce_fusion,2.312946
"layer_norm_(2,128,512)",sub,fusion.4,0.364375
"layer_norm_(2,128,512)",sub,copy-done,0.009911
"layer_norm_(2,128,512)",sub,fusion.1,1.882946
"layer_norm_(2,128,512)",sub,fusion.3,0.381429
"layer_norm_(2,128,512)",sub,divide_convert_fusion,1.919911
"layer_norm_(2,128,512)",sub,copy-start,0.001428
"layer_norm_(2,128,512)",sub,convert_reduce_fusion,2.540089
"layer_norm_(2,128,512)",sub,fusion.4,0.364375
"layer_norm_(2,128,512)",sub,copy-done,0.009911
"layer_norm_(2,128,512)",sub,fusion.1,1.885714
"layer_norm_(2,128,512)",sub,fusion.3,0.38134
"layer_norm_(2,128,512)",sub,divide_convert_fusion,1.914375
"layer_norm_(2,128,512)",sub,copy-start,0.001429
"layer_norm_(2,128,512)",sub,convert_reduce_fusion,2.534375
"layer_norm_(2,128,512)",sub,fusion.4,0.364375
"layer_norm_(2,128,512)",sub,copy-done,0.009911
"layer_norm_(2,128,512)",sub,fusion.1,1.882947
"layer_norm_(2,128,512)",sub,fusion.3,0.381429
"layer_norm_(2,128,512)",sub,divide_convert_fusion,1.921339
"layer_norm_(2,128,512)",sub,copy-start,0.001518
"layer_norm_(2,128,512)",sub,convert_reduce_fusion,2.54
"layer_norm_(2,128,512)",sub,fusion.4,0.364286
"layer_norm_(2,128,512)",sub,copy-done,0.01
"layer_norm_(2,128,512)",sub,fusion.1,1.885714
"layer_norm_(2,128,512)",sub,fusion.3,0.381429
"layer_norm_(2,128,512)",sub,divide_convert_fusion,1.911429
"layer_norm_(2,128,512)",sub,copy-start,0.001429
"layer_norm_(2,128,512)",sub,convert_reduce_fusion,2.298572
"layer_norm_(2,128,512)",sub,fusion.4,0.364286
"layer_norm_(2,128,512)",sub,copy-done,0.01
