kernel_name,batch_size,seq_len,hidden_dim,dim_product,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us
"layer_norm_(6,512,3584)",6,512,3584,11010048,160.2991785,160.125714,160.847232,0.2081554479001206
"layer_norm_(6,512,4096)",6,512,4096,12582912,182.0290089,181.715625,182.575714,0.23768153915759496
"layer_norm_(6,640,512)",6,640,512,1966080,39.83414280000001,39.77,39.971429,0.05898893968043724
"layer_norm_(6,640,1024)",6,640,1024,3932160,66.25412510000001,66.124196,66.365715,0.07660474878150692
"layer_norm_(6,640,1536)",6,640,1536,5898240,93.2111785,93.054286,93.404286,0.12229742531336368
"layer_norm_(6,640,2048)",6,640,2048,7864320,118.3825896,118.09009,118.951429,0.24386654617101142
"layer_norm_(6,640,2560)",6,640,2560,9830400,148.64746469999997,148.34009,149.315715,0.2949217836930294
"layer_norm_(6,640,3072)",6,640,3072,11796480,175.4694643,175.191518,176.225715,0.2991646860785179
"layer_norm_(6,640,3584)",6,640,3584,13762560,199.6069822,199.265625,200.137143,0.2247471188468416
"layer_norm_(6,640,4096)",6,640,4096,15728640,224.8495715,224.551428,225.399911,0.21773649235320947
"layer_norm_(6,768,512)",6,768,512,2359296,46.3337144,46.254286,46.398483,0.05490236498083561
"layer_norm_(6,768,1024)",6,768,1024,4718592,78.11284839999999,77.912857,78.338661,0.1543274723726584
"layer_norm_(6,768,1536)",6,768,1536,7077888,108.7158392,108.538482,108.918571,0.1095377639069422
"layer_norm_(6,768,2048)",6,768,2048,9437184,140.304009,140.117143,140.867143,0.22651389658915116
"layer_norm_(6,768,2560)",6,768,2560,11796480,172.9425896,172.71009,173.481339,0.2134360061778562
"layer_norm_(6,768,3072)",6,768,3072,14155776,206.32858919999998,206.128571,206.804375,0.21558269972374167
"layer_norm_(6,768,3584)",6,768,3584,16515072,238.5034285,238.239911,239.094286,0.23924117981153042
"layer_norm_(6,768,4096)",6,768,4096,18874368,264.41411600000004,264.049911,264.971428,0.2515417997139505
"layer_norm_(6,896,512)",6,896,512,2752512,53.6634198,53.51134,53.811339,0.09897873388741357
"layer_norm_(6,896,1024)",6,896,1024,5505024,90.0335714,89.794286,90.30991,0.16305133707053474
"layer_norm_(6,896,1536)",6,896,1536,8257536,126.68927699999999,126.421429,127.411429,0.27808402456092157
"layer_norm_(6,896,2048)",6,896,2048,11010048,162.386991,162.098482,163.039911,0.26178990985393663
"layer_norm_(6,896,2560)",6,896,2560,13762560,199.38141950000002,199.12,200.224196,0.3190921457392854
"layer_norm_(6,896,3072)",6,896,3072,16515072,239.7744553,239.491339,240.325714,0.22869722016580385
"layer_norm_(6,896,3584)",6,896,3584,19267584,274.6745624,274.467143,275.01991,0.1618085392638782
"layer_norm_(6,896,4096)",6,896,4096,22020096,307.89700899999997,307.678661,308.448483,0.23074689133816165
"layer_norm_(6,1024,512)",6,1024,512,3145728,60.011000100000004,59.865715,60.187054,0.11477303818352957
"layer_norm_(6,1024,1024)",6,1024,1024,6291456,101.6433126,101.41,101.887143,0.1616656106949718
"layer_norm_(6,1024,1536)",6,1024,1536,9437184,141.5901784,141.41,141.917143,0.16568784707207376
"layer_norm_(6,1024,2048)",6,1024,2048,12582912,184.3612769,184.041429,184.89134,0.21833626231290398
"layer_norm_(6,1024,2560)",6,1024,2560,15728640,225.21688410000002,225.075625,225.747143,0.19505367849528985
"layer_norm_(6,1024,3072)",6,1024,3072,18874368,265.2039644,264.985714,265.657143,0.18977581889354858
"layer_norm_(6,1024,3584)",6,1024,3584,22020096,304.6398482,304.47,305.198661,0.23132331923800753
"layer_norm_(6,1024,4096)",6,1024,4096,25165824,346.7334377,346.547143,347.304197,0.21859108369639468
"layer_norm_(8,128,512)",8,128,512,524288,15.5342946,15.292768,15.818572,0.19149792415712696
"layer_norm_(8,128,1024)",8,128,1024,1048576,23.5665716,23.432947,23.685714,0.06380833254224934
"layer_norm_(8,128,1536)",8,128,1536,1572864,30.402723299999998,30.197143,30.588572,0.14431169356257967
"layer_norm_(8,128,2048)",8,128,2048,2097152,36.324276600000005,36.188571,36.437143,0.08144769052888343
"layer_norm_(8,128,2560)",8,128,2560,2621440,44.2829728,44.187143,44.357053,0.049370020401049076
"layer_norm_(8,128,3072)",8,128,3072,3145728,52.806107,52.651428,53.051339,0.12371538998218612
"layer_norm_(8,128,3584)",8,128,3584,3670016,60.6464195,60.465625,60.917143,0.1603097745403155
"layer_norm_(8,128,4096)",8,128,4096,4194304,68.3557054,68.162946,68.551339,0.11212100888692264
"layer_norm_(8,256,512)",8,256,512,1048576,25.7075623,25.608482,25.821428,0.08091141696537336
"layer_norm_(8,256,1024)",8,256,1024,2097152,37.4604642,37.228572,37.557142,0.10849537683729532
"layer_norm_(8,256,1536)",8,256,1536,3145728,54.152259,54.02,54.335714,0.10769341764781502
"layer_norm_(8,256,2048)",8,256,2048,4194304,69.9761161,69.754196,70.134286,0.11189385695723936
"layer_norm_(8,256,2560)",8,256,2560,5242880,82.0738662,81.949911,82.294375,0.1089878956406529
"layer_norm_(8,256,3072)",8,256,3072,6291456,98.53827680000002,98.402857,99.065714,0.1935478647551788
"layer_norm_(8,256,3584)",8,256,3584,7340032,112.1152944,111.912947,112.461428,0.16088381462008705
"layer_norm_(8,256,4096)",8,256,4096,8388608,127.14883010000001,126.924375,127.717232,0.2208972208926566
"layer_norm_(8,384,512)",8,384,512,1572864,33.4018392,33.164285,33.58,0.16869925751453566
"layer_norm_(8,384,1024)",8,384,1024,3145728,55.317357300000005,55.187053,55.51134,0.10810131163049418
"layer_norm_(8,384,1536)",8,384,1536,4718592,76.3960356,76.242857,76.661518,0.13032408543507665
"layer_norm_(8,384,2048)",8,384,2048,6291456,97.55874099999998,97.232857,97.907054,0.19609343349366312
"layer_norm_(8,384,2560)",8,384,2560,7864320,118.25113410000002,117.97,118.775625,0.252929629193775
"layer_norm_(8,384,3072)",8,384,3072,9437184,138.37769629999997,138.207143,138.785804,0.1821887543395304
"layer_norm_(8,384,3584)",8,384,3584,11010048,160.0695625,159.838482,160.68,0.2571922306176017
"layer_norm_(8,384,4096)",8,384,4096,12582912,181.6461429,181.367232,182.327232,0.28070961069184686
"layer_norm_(8,512,512)",8,512,512,2097152,42.5513213,42.345803,42.658572,0.08568231143532601
"layer_norm_(8,512,1024)",8,512,1024,4194304,73.0655804,72.932858,73.33,0.10732059576096638
"layer_norm_(8,512,1536)",8,512,1536,6291456,100.6132947,100.248483,101.234197,0.24916058185259132
"layer_norm_(8,512,2048)",8,512,2048,8388608,124.65370519999999,124.41,125.092767,0.22356539813108708
"layer_norm_(8,512,2560)",8,512,2560,10485760,153.5614555,153.350089,154.082857,0.2361413709173411
"layer_norm_(8,512,3072)",8,512,3072,12582912,181.852866,181.627232,182.548571,0.25373833686212416
"layer_norm_(8,512,3584)",8,512,3584,14680064,208.3628482,208.082857,209.08,0.282679531580202
"layer_norm_(8,512,4096)",8,512,4096,16777216,236.929009,236.697054,237.547143,0.243450563550158
"layer_norm_(8,640,512)",8,640,512,2621440,51.642437400000006,51.495804,51.761518,0.08191357227685521
"layer_norm_(8,640,1024)",8,640,1024,5242880,85.4011427,85.292857,85.53991,0.07212928278376404
"layer_norm_(8,640,1536)",8,640,1536,7864320,121.61909810000002,121.342857,122.157053,0.23179801314096993
"layer_norm_(8,640,2048)",8,640,2048,10485760,157.5024108,157.192857,158.129911,0.25943282258838535
"layer_norm_(8,640,2560)",8,640,2560,13107200,192.6276964,192.314286,193.199911,0.26957694760791107
"layer_norm_(8,640,3072)",8,640,3072,15728640,227.3717052,227.117143,227.987143,0.2561513388044055
"layer_norm_(8,640,3584)",8,640,3584,18350080,255.98371429999997,255.734375,256.517054,0.24343483793137388
"layer_norm_(8,640,4096)",8,640,4096,20971520,291.215857,290.949911,291.778571,0.26617782360378306
"layer_norm_(8,768,512)",8,768,512,3145728,60.5917053,60.395803,60.798571,0.14683470428346088
"layer_norm_(8,768,1024)",8,768,1024,6291456,102.4660178,102.214286,103.031429,0.23390586392668616
"layer_norm_(8,768,1536)",8,768,1536,9437184,141.7111252,141.564197,142.375804,0.23920980215924498
"layer_norm_(8,768,2048)",8,768,2048,12582912,187.22931260000001,186.927143,187.618661,0.20357769538663573
"layer_norm_(8,768,2560)",8,768,2560,15728640,229.49202680000002,229.211428,230.111429,0.2536809241660311
"layer_norm_(8,768,3072)",8,768,3072,18874368,263.2064196,262.96866,263.761428,0.21474385566540868
"layer_norm_(8,768,3584)",8,768,3584,22020096,304.4290089,304.26,305.005803,0.22024059691036707
"layer_norm_(8,768,4096)",8,768,4096,25165824,346.49871429999996,346.25,347.037054,0.2076526541955489
"layer_norm_(8,896,512)",8,896,512,3670016,70.139857,69.922857,70.342857,0.14492940045721742
"layer_norm_(8,896,1024)",8,896,1024,7340032,116.006991,115.687143,116.32,0.2080156337388539
"layer_norm_(8,896,1536)",8,896,1536,11010048,163.6508482,163.39,164.144196,0.20959345584079864
"layer_norm_(8,896,2048)",8,896,2048,14680064,216.742884,216.517232,217.138661,0.18113565332645243
"layer_norm_(8,896,2560)",8,896,2560,18350080,261.74958039999996,261.477143,262.077053,0.16360588371258078
"layer_norm_(8,896,3072)",8,896,3072,22020096,304.9140089,304.717233,305.362857,0.1940616630114508
"layer_norm_(8,896,3584)",8,896,3584,25690112,351.817723,351.531428,352.222857,0.21641515910551465
"layer_norm_(8,896,4096)",8,896,4096,29360128,400.5682678,400.314285,401.188661,0.2533825190597643
"layer_norm_(8,1024,512)",8,1024,512,4194304,78.37773250000001,78.181518,78.528571,0.11628246273454536
"layer_norm_(8,1024,1024)",8,1024,1024,8388608,130.91200009999997,130.658571,131.32009,0.19324928548003747
"layer_norm_(8,1024,1536)",8,1024,1536,12582912,185.60231240000002,185.291428,186.052947,0.21157773773732055
"layer_norm_(8,1024,2048)",8,1024,2048,16777216,242.02283930000004,241.83,242.418482,0.19961182779309308
"layer_norm_(8,1024,2560)",8,1024,2560,20971520,306.3696782999999,306.179911,306.912946,0.21378671311329733
"layer_norm_(8,1024,3072)",8,1024,3072,25165824,345.9298482,345.694286,346.545715,0.2583745172001192
"layer_norm_(8,1024,3584)",8,1024,3584,29360128,399.8344198,399.592768,400.448661,0.23333399244183925
"layer_norm_(8,1024,4096)",8,1024,4096,33554432,456.1061159000001,455.822767,456.604196,0.21656167741698176
"layer_norm_(10,128,512)",10,128,512,655360,17.7574195,17.592768,17.917143,0.12871896220427065
"layer_norm_(10,128,1024)",10,128,1024,1310720,27.488812499999995,27.307232,27.684197,0.14082837622932698
"layer_norm_(10,128,1536)",10,128,1536,1966080,35.935,35.815714,36.134375,0.09324102680091437
"layer_norm_(10,128,2048)",10,128,2048,2621440,46.29600000000001,46.165715,46.415715,0.07403429996367329
"layer_norm_(10,128,2560)",10,128,2560,3276800,56.546732,56.395714,56.897232,0.15441807622454443
"layer_norm_(10,128,3072)",10,128,3072,3932160,64.4218216,64.327054,64.522857,0.0706176336684614
"layer_norm_(10,128,3584)",10,128,3584,4587520,73.1181967,73.015804,73.314196,0.08615517165111572
"layer_norm_(10,128,4096)",10,128,4096,5242880,82.0796068,81.954285,82.384375,0.12185089742413588
"layer_norm_(10,256,512)",10,256,512,1310720,28.450732100000003,28.261518,28.687053,0.15294416601670155
"layer_norm_(10,256,1024)",10,256,1024,2621440,47.5892857,47.431339,47.705625,0.0767449001360996
"layer_norm_(10,256,1536)",10,256,1536,3932160,67.36116960000001,67.25,67.521518,0.07574829759025806
"layer_norm_(10,256,2048)",10,256,2048,5242880,81.5788124,81.492768,81.695714,0.06412788200185937
"layer_norm_(10,256,2560)",10,256,2560,6553600,100.1052854,99.930089,100.351339,0.15898124060767735
"layer_norm_(10,256,3072)",10,256,3072,7864320,118.5774554,118.311428,119.198661,0.24677476046620903
"layer_norm_(10,256,3584)",10,256,3584,9175040,136.1193125,135.845714,136.85866,0.3110771637131705
"layer_norm_(10,256,4096)",10,256,4096,10485760,154.4754375,154.14,155.167054,0.30403192896516773
"layer_norm_(10,384,512)",10,384,512,1966080,40.345116,40.13,40.475625,0.12660771522216901
"layer_norm_(10,384,1024)",10,384,1024,3932160,67.3261784,67.218571,67.495803,0.08639904276244469
"layer_norm_(10,384,1536)",10,384,1536,5898240,93.46190179999999,93.250089,93.650089,0.14047904306004616
"layer_norm_(10,384,2048)",10,384,2048,7864320,122.6384376,122.429911,123.184286,0.22012228024249508
"layer_norm_(10,384,2560)",10,384,2560,9830400,149.13698200000002,148.805714,149.761428,0.2662164927180705
"layer_norm_(10,384,3072)",10,384,3072,11796480,174.88929449999998,174.68991,175.524286,0.2529990511928844
"layer_norm_(10,384,3584)",10,384,3584,13762560,200.2991249,200.081429,201.011429,0.2599303315024757
"layer_norm_(10,384,4096)",10,384,4096,15728640,225.30827689999995,225.055804,225.652946,0.19497868241166566
"layer_norm_(10,512,512)",10,512,512,2621440,52.171008900000004,52.102946,52.308571,0.058931380258832135
"layer_norm_(10,512,1024)",10,512,1024,5242880,84.78585690000001,84.641428,84.934285,0.10411278812417211
"layer_norm_(10,512,1536)",10,512,1536,7864320,121.2408838,120.947053,121.755803,0.21836880086210922
"layer_norm_(10,512,2048)",10,512,2048,10485760,159.21111609999997,159.024286,159.537143,0.16135896561149476
"layer_norm_(10,512,2560)",10,512,2560,13107200,193.0769999,192.885714,193.401518,0.14451326136106574
"layer_norm_(10,512,3072)",10,512,3072,15728640,228.05670539999997,227.917054,228.461339,0.15936668929038564
