shape_idx ,dim_0 ,dim_1  ,size     ,actual_latency       ,predicted_latency    ,absolute_error         ,relative_error_pct
        0 , 2955 ,  4787 ,14145585 ,128.730991           ,126.60455759903218   , 2.1264334009678123    ,  1.6518426405711524
        1 ,    8 ,   256 ,    2048 ,  0.9128839          ,-0.02174904834081199 , 0.934632948340812     ,102.38245502421634
        2 ,  345 , 18387 , 6343515 , 61.057393000000005  ,60.869316478073074   , 0.1880765219269307    ,  0.30803234905055754
        3 , 2658 ,   573 , 1523034 , 16.847562500000002  ,16.55066560697087    , 0.2968968930291318    ,  1.7622542906674588
        4 , 2780 ,   642 , 1784760 , 18.6311519          ,19.045562548339124   , 0.4144106483391248    ,  2.22428892514759
        5 ,    2 ,    32 ,      64 ,  0.8478570999999999 ,3.7068860317757824   , 2.859028931775782     ,337.2064622417837
        6 , 3348 ,  4912 ,16445376 ,147.9128393          ,145.80098329862338   , 2.1118560013766228    ,  1.4277705785184145
        7 ,    8 ,  1024 ,    8192 ,  0.9866966          ,2.052550468297412    , 1.065853868297412     ,108.02245272735426
        8 ,   32 ,    32 ,    1024 ,  0.9154198          ,3.5325990531836693   , 2.6171792531836693    ,285.89934947700164
        9 ,  275 ,  8186 , 2251150 , 24.449312599999995  ,25.09193588081438    , 0.6426232808143837    ,  2.6283899728714
       10 ,  429 ,  6987 , 2997423 , 30.0764196          ,31.41160903130742    , 1.3351894313074197    ,  4.439323061270962
       11 , 2272 ,  6220 ,14131840 ,127.8262856          ,127.00875715727356   , 0.8175284427264415    ,  0.639562073550889
       12 , 3781 ,   952 , 3599512 , 36.3690001          ,37.41642844956317    , 1.0474283495631695    ,  2.8800031529136527
       13 , 2041 ,  2751 , 5614791 , 53.0761341          ,54.968573822096346   , 1.8924397220963485    ,  3.565519143747036
       14 , 2547 ,  5274 ,13432878 ,120.8712947          ,120.61403955342702   , 0.2572551465729873    ,  0.2128339463985135
       15 ,   32 ,  2048 ,   65536 ,  1.6838840999999998 ,3.955736705602119    , 2.271852605602119     ,134.9173975573568
       16 ,  309 , 16223 , 5012907 , 48.2616787          ,49.13309941226304    , 0.8714207122630455    ,  1.8056162482036613
       17 , 3890 ,  3238 ,12595820 ,115.0104376          ,112.70632604742326   , 2.3041115525767424    ,  2.0033934316381927
       18 ,    4 ,  8192 ,   32768 ,  1.5907056000000002 ,5.660276353656507    , 4.069570753656507     ,255.83431363141656
       19 ,  128 ,  1024 ,  131072 ,  2.5087233          ,2.880146828406654    , 0.3714235284066536    , 14.805280773955962
       20 ,    1 ,   501 ,     501 ,  0.9296786          ,6.357673363444393    , 5.427994763444393     ,583.8571269086319
       21 , 3365 ,  3908 ,13150420 ,120.97701780000004   ,117.29195372897739   , 3.6850640710226514    ,  3.0460860567044414
       22 ,  604 , 23947 ,14463988 ,129.46258930000002   ,130.36604262006458   , 0.9034533200645569    ,  0.6978489499935846
       23 ,   12 ,  1032 ,   12384 ,  1.1415716000000002 ,3.0516177183277415   , 1.9100461183277413    ,167.31724215351372
       24 ,    2 ,   256 ,     512 ,  0.8732766          ,6.030253843641518    , 5.156977243641518     ,590.5319395528883
       25 , 1411 ,  3898 , 5500078 , 52.7377054          ,53.09330994020437    , 0.35560454020436794   ,  0.674288988319101
       26 ,  256 ,    16 ,    4096 ,  0.9472768          ,2.944412070588733    , 1.9971352705887329    ,210.82911252431526
       27 , 1887 ,  2521 , 4757127 , 45.87899109999999   ,47.048247293141216   , 1.1692561931412229    ,  2.548565618177299
       28 ,  231 , 63435 ,14653485 ,130.34243750000002   ,134.0283914651902    , 3.68595396519018      ,  2.827900134359678
       29 ,   93 , 22824 , 2122632 , 22.4127411          ,22.654876791645734   , 0.242135691645732     ,  1.0803484079229022
       30 ,    5 ,  1056 ,    5280 ,  1.0666786          ,5.3637950300883865   , 4.297116430088387     ,402.85015843463884
       31 ,   20 ,  4074 ,   81480 ,  2.171875           ,5.268471549923302    , 3.0965965499233024    ,142.5771073345981
       32 , 2247 ,  1738 , 3905286 , 39.48598200000001   ,38.230798103774525   , 1.255183896225482     ,  3.1788088649422006
       33 ,   32 ,   512 ,   16384 ,  1.0727144000000002 ,3.450933420318516    , 2.378219020318516     ,221.70104366255507
       34 , 3122 ,  4881 ,15238482 ,136.7404195          ,135.52976730595535   , 1.2106521940446555    ,  0.8853652771225083
       35 , 2103 ,  3386 , 7120758 , 68.5398393          ,66.11340145977648    , 2.426437840223514     ,  3.54018606551287
       36 ,  256 ,   128 ,   32768 ,  1.2985804          ,3.095728437082031    , 1.7971480370820307    ,138.39328216273944
