shape_idx,dim_0,dim_1,size,actual_latency,predicted_latency,absolute_error,relative_error_pct
0,2955,4787,14145585,179.4354376,177.99062829962588,1.4448093003741178,0.8051973008781614
1,8,256,2048,0.9382588,1.543632164436859,0.605373364436859,64.52093648755108
2,345,18387,6343515,81.4539731,82.62457272000702,1.1705996200070246,1.4371301674503887
3,2658,573,1523034,28.2245536,30.38337350694918,2.15881990694918,7.648730029690107
4,2780,642,1784760,33.0913035,31.560107988665496,1.5311955113345057,4.627184031401198
5,2,32,64,0.8521876000000003,3.7021195202572397,2.8499319202572395,334.4254152791285
6,3348,4912,16445376,209.4107321,209.55616311439005,0.14543101439005568,0.06944773695772571
7,8,1024,8192,1.0572678,1.5317866205739825,0.47451882057398254,44.881610938494724
8,32,32,1024,0.9712769,3.7460017285567933,2.7747248285567934,285.67804181864034
9,275,8186,2251150,29.9278661,32.17296379485016,2.2450976948501626,7.501696537095115
10,429,6987,2997423,39.86344630000001,40.460434252746964,0.5969879527469573,1.4975823922854286
11,2272,6220,14131840,179.70199989999998,179.1819485152566,0.5200513847433683,0.28939654819243243
12,3781,952,3599512,48.1894377,49.142185127727274,0.9527474277272745,1.977087663189883
13,2041,2751,5614791,71.0707144,75.32459762017027,4.253883220170266,5.985423470247635
14,2547,5274,13432878,166.3362768,169.42246299710138,3.0861861971013695,1.855389730053985
15,32,2048,65536,2.0954285,3.918581835593382,1.823153335593382,87.00622978037103
16,309,16223,5012907,65.323857,64.89257621639241,0.4312807836075905,0.6602194105096864
17,3890,3238,12595820,159.99872319999997,158.4438416606018,1.554881539398167,0.9718087171574176
18,4,8192,32768,1.9299908,4.363811493255634,2.433820693255634,126.10530025612734
19,128,1024,131072,3.3011517999999995,2.8522774229551855,0.44887437704481403,13.597507907537427
20,1,501,501,0.9177234,2.9511558540998415,2.0334324540998416,221.57356498699298
21,3365,3908,13150420,166.0869821,165.6837002185102,0.4032818814897894,0.24281366088461748
22,604,23947,14463988,181.9068392,182.4008696867663,0.4940304867662917,0.2715843389610673
23,12,1032,12384,1.2383211,2.8202718263793316,1.5819507263793315,127.7496383110432
24,2,256,512,0.9014464,3.410238943359415,2.508792543359415,278.307456035036
25,1411,3898,5500078,73.0694374,72.12572974241564,0.9437076575843548,1.2915217239435797
26,256,16,4096,0.9765624,2.45144269035852,1.4748802903585196,151.02775719795474
27,1887,2521,4757127,61.3482857,63.694054517296,2.3457688172960047,3.8236908994769268
28,231,63435,14653485,181.3168657,185.90884988886512,4.591984188865126,2.5325742153864765
29,93,22824,2122632,29.0486964,28.875732323793287,0.17296407620671417,0.5954280144795556
30,5,1056,5280,1.0975714,3.136124611739408,2.038553211739408,185.73308412914258
31,20,4074,81480,2.6755357,3.2356640402249712,0.560128340224971,20.93518468936785
32,2247,1738,3905286,52.832035700000006,51.35809956551549,1.4739361344845179,2.7898530029281416
33,32,512,16384,1.2438659,3.496277754507417,2.252411854507417,181.0815663093117
34,3122,4881,15238482,194.8521253,191.41112316222348,3.441002137776536,1.765955661237294
35,2103,3386,7120758,92.34986600000002,91.08391425420828,1.2659517457917389,1.3708214214319905
36,256,128,32768,1.4887323,2.867170197693379,1.3784378976933793,92.59138783335187
37,2124,7628,16201872,202.5165626,202.60158174334836,0.08501914334837579,0.041981328468576225
38,8192,2048,16777216,205.6495713,212.56134624572198,6.911774945721987,3.3609478989086456
39,3019,3413,10303847,132.36958940000002,131.42471915905605,0.9448702409439704,0.713812171834062
40,2453,4667,11448151,146.31584819999998,148.90735545961422,2.5915072596142465,1.7711733154647062
41,2042,6402,13072884,163.79174110000002,166.83724426126977,3.0455031612697496,1.8593752901194047
42,1191,8042,9578022,121.277,120.40679532846772,0.870204671532278,0.7175347935158999
43,3019,3733,11269927,142.73543739999997,145.87076850259098,3.13533110259101,2.1966031419405665
44,2706,615,1664190,31.502723100000004,31.35962633876413,0.14309676123587423,0.4542361648599013
45,2238,6441,14414958,180.6494196,182.92666081525311,2.2772412152531274,1.2605859572067664
46,3427,500,1713500,31.8874108,31.6941416404309,0.19326915956910184,0.6060986286446997
47,1566,1847,2892402,39.8277321,38.443854592258894,1.3838775077411043,3.474658070578677
48,1024,32,32768,1.5115714,3.830506792942758,2.318935392942758,153.41223001062062
49,2067,3343,6909981,92.5045537,91.10191037428612,1.402643325713882,1.5162965168858298
50,2503,5493,13748979,172.3149912,173.983914290738,1.6689230907379908,0.9685304099867491
51,1024,2048,2097152,27.5671517,29.207868713680618,1.640717013680618,5.951710323706086
52,753,11494,8654982,110.4301338,106.66055831498115,3.769575485018848,3.4135388188933335
53,370,5853,2165610,30.8923215,29.120364173456068,1.7719573265439337,5.735915076968022
54,531,1,531,0.9624284,0.9196579141600395,0.04277048583996046,4.444017429240498
55,3803,3907,14858321,188.9974463,184.16085750392952,4.836588796070487,2.559076268360398
56,270,280,75600,2.8184374999999995,2.927612175322723,0.1091746753227234,3.873588657641811
57,383,18941,7254403,92.3048573,94.91982185041645,2.6149645504164596,2.8329652706331196
58,1523,5206,7928738,99.6245806,99.56865496809971,0.05592563190029409,0.05613637875660386
59,156,97299,15178644,192.66971429999995,193.1368717979827,0.46715749798275397,0.24246545425159957
60,16,64,1024,0.9114461,3.4834675689399894,2.5720214689399894,282.1912857973707
61,3670,2418,8874060,115.1124464,119.67963565045038,4.567189250450383,3.9675894251956256
62,2409,5902,14217918,182.1633037,179.30837016978856,2.85493353021144,1.5672385558581852
63,3295,4500,14827500,186.8009823,184.20851047553785,2.5924718244621374,1.387825584502902
64,2512,2922,7340064,93.97090160000002,97.22520086416284,3.2542992641628246,3.4630925198687503
65,644,26037,16767828,213.8374376,211.86818717908503,1.9692504209149604,0.9209100347520066
66,4084,3885,15866340,196.5122948,197.93668485224683,1.424390052246821,0.7248350815385323
67,215,28557,6139755,77.770732,77.28705489516092,0.48367710483907445,0.6219269028341851
68,2028,1972,3999216,51.9488482,52.58542415932753,0.63657595932753,1.2253899391123169
69,16,4096,65536,2.1195624,3.8240417907572977,1.7044793907572977,80.41657045611386
70,3029,5066,15344914,198.1562413,194.5113052996918,3.6449360003082063,1.8394252819874244
71,763,20590,15710170,197.7227143,196.4301033488793,1.2926109511207073,0.6537493457425732
72,55,151,8305,1.2518480999999997,3.222966735071968,1.9711186350719685,157.45669423246872
73,431,30953,13340743,165.2272678,169.50983959309937,4.282571793099379,2.5919279850849044
74,2816,5095,14347520,178.57115169999997,180.49167401890818,1.920522318908212,1.0754941661207935
75,16,446622,7145952,89.8449909,113.47717529840217,23.632184398402174,26.303285427125772
76,512,512,262144,5.6954463,3.5104069344774307,2.1850393655225697,38.36467329211004
77,2837,3641,10329517,132.50370539999997,130.06750765713127,2.4361977428687,1.83858838929398
78,1124,5012,5633488,73.6497052,73.00218715307209,0.6475180469279138,0.8791862033521267
79,3376,2808,9479808,120.13944629999996,122.3166130186195,2.177166718619546,1.8121997276256356
80,512,1024,524288,10.2044109,11.736725829376532,1.5323149293765326,15.016201762088322
81,862,7873,6786526,85.55172329999999,83.55467080808012,1.9970524919198738,2.3343217586826492
82,2032,7679,15603728,197.6125357,196.64710817721112,0.9654275227888718,0.48854568834363266
83,2274,4259,9684966,123.1139911,122.1251630000314,0.9888280999686003,0.8031809310490303
84,3626,1869,6776994,89.38741960000002,86.00675607880403,3.3806635211959843,3.7820350294528287
85,3627,4067,14751009,183.7811156,182.74776564458116,1.033349955418828,0.5622721094303924
86,8166,30,244980,5.6525623000000005,3.749254196345117,1.9033081036548833,33.67159887215897
87,2154,3305,7118970,89.52255380000001,91.08391425420828,1.5613604542082697,1.7440973117193064
88,1153,8177,9428081,118.4289643,119.87290840651141,1.4439441065114096,1.2192491212315784
89,686,2408,1651888,30.401294600000007,31.976173076536778,1.574878476536771,5.180300698565549
90,875,1798,1573250,29.523857300000003,31.49376480580869,1.9699075058086883,6.6722565611665114
91,23,8187,188301,4.3791251,2.893758503838773,1.4853665961612275,33.91925469681666
92,2131,6354,13540374,171.1765982,172.00788205529093,0.8312838552909341,0.4856293816048822
93,1959,924,1810116,34.433151599999995,31.18283112398355,3.2503204760164444,9.439509092209976
94,2565,3641,9339165,120.7868397,121.01742083554306,0.23058113554306203,0.19089922057383046
95,4119,1,4119,1.3588394,0.9335651530311095,0.4252742469688904,31.296873417777732
96,1230,11898,14634540,186.1727145,183.2701152559705,2.902599244029517,1.5590895002121896
97,2987,2540,7586980,96.6141069,99.39587739884439,2.781770498844395,2.879259135235452
98,330,21743,7175190,91.57760720000002,88.75669125284665,2.8209159471533667,3.0803555950011394
99,723,12139,8776497,112.62528590000002,118.1542680797332,5.528982179733177,4.909183701999531
