LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 509, 0, 25.147347740667975, 100.0, 20.09419152276295,
1, 525, 0, 27.428571428571427, 100.0, 22.052067381317,
2, 541, 0, 29.57486136783734, 100.0, 23.916292974588938,
3, 557, 0, 31.597845601436266, 100.0, 25.693430656934307,
4, 573, 0, 33.50785340314136, 100.0, 27.38944365192582,
5, 589, 0, 35.31409168081494, 100.0, 29.009762900976288,
6, 605, 0, 37.02479338842975, 100.0, 30.559345156889496,
7, 621, 0, 38.64734299516908, 100.0, 32.04272363150868,
8, 637, 0, 40.1883830455259, 100.0, 33.464052287581694,
9, 653, 0, 41.65390505359878, 100.0, 34.82714468629962,
10, 669, 0, 43.04932735426009, 100.0, 36.13550815558344,
11, 685, 0, 44.37956204379562, 100.0, 37.392373923739235,
12, 701, 0, 45.6490727532097, 100.0, 38.600723763570564,
13, 717, 0, 46.86192468619247, 100.0, 39.76331360946745,
14, 733, 0, 48.02182810368349, 100.0, 40.88269454123113,
15, 749, 0, 49.13217623497997, 100.0, 41.96123147092361,
16, 765, 0, 50.19607843137255, 100.0, 43.00111982082866,
17, 781, 0, 51.21638924455826, 100.0, 44.00440044004401,
18, 797, 0, 52.19573400250941, 100.0, 44.972972972972975,
19, 813, 0, 53.13653136531365, 100.0, 45.908607863974495,
20, 829, 0, 54.041013268998796, 100.0, 46.812957157784744,
21, 845, 0, 54.9112426035503, 100.0, 47.68756423432682,
22, 861, 0, 55.749128919860624, 100.0, 48.53387259858442,
23, 877, 0, 56.556442417331816, 100.0, 49.353233830845774,
24, 893, 0, 57.33482642777156, 100.0, 50.146914789422134,
25, 509, 0, 25.147347740667975, 100.0, 20.09419152276295,
26, 1019, 0, 14.131501472031402, 56.25, 11.302982731554161,
27, 1019, 0, 15.701668302257115, 62.5, 12.558869701726847,
28, 1019, 0, 17.271835132482828, 68.75, 13.81475667189953,
29, 1019, 0, 18.842001962708537, 75.0, 15.070643642072215,
30, 1019, 0, 20.41216879293425, 81.25, 16.3265306122449,
31, 1019, 0, 21.982335623159962, 87.5, 17.58241758241758,
32, 1019, 0, 23.55250245338567, 93.75, 18.83830455259027,
33, 1019, 0, 25.122669283611383, 100.0, 20.09419152276295,
34, 1529, 0, 17.78940483976455, 70.83333333333334, 14.23338566195709,
35, 1529, 0, 18.835840418574232, 75.0, 15.070643642072215,
36, 1529, 0, 19.88227599738391, 79.16666666666666, 15.907901622187337,
37, 1529, 0, 20.928711576193592, 83.33333333333334, 16.74515960230246,
38, 1529, 0, 21.97514715500327, 87.5, 17.582417582417584,
39, 1529, 0, 23.02158273381295, 91.66666666666666, 18.41967556253271,
40, 1529, 0, 24.06801831262263, 95.83333333333334, 19.25693354264783,
41, 1529, 0, 25.11445389143231, 100.0, 20.09419152276295,
42, 2039, 0, 19.6174595389897, 78.125, 15.698587127158559,
43, 2039, 0, 20.40215792054929, 81.25, 16.3265306122449,
44, 2039, 0, 21.186856302108875, 84.375, 16.95447409733124,
45, 2039, 0, 21.971554683668465, 87.5, 17.582417582417584,
46, 2039, 0, 22.75625306522805, 90.625, 18.21036106750393,
47, 2039, 0, 23.54095144678764, 93.75, 18.83830455259027,
48, 2039, 0, 24.325649828347228, 96.875, 19.46624803767661,
49, 2039, 0, 25.110348209906817, 100.0, 20.09419152276295,
50, 509, 0, 25.147347740667975, 100.0, 20.09419152276295,
51, 1019, 0, 14.131501472031402, 56.25, 11.302982731554161,
52, 1019, 0, 15.701668302257115, 62.5, 12.558869701726847,
53, 1019, 0, 17.271835132482828, 68.75, 13.81475667189953,
54, 1019, 0, 18.842001962708537, 75.0, 15.070643642072215,
55, 1019, 0, 20.41216879293425, 81.25, 16.3265306122449,
56, 1019, 0, 21.982335623159962, 87.5, 17.58241758241758,
57, 1019, 0, 23.55250245338567, 93.75, 18.83830455259027,
58, 1019, 0, 25.122669283611383, 100.0, 20.09419152276295,
59, 1529, 0, 17.78940483976455, 70.83333333333334, 14.23338566195709,
60, 1529, 0, 18.835840418574232, 75.0, 15.070643642072215,
61, 1529, 0, 19.88227599738391, 79.16666666666666, 15.907901622187337,
62, 1529, 0, 20.928711576193592, 83.33333333333334, 16.74515960230246,
63, 1529, 0, 21.97514715500327, 87.5, 17.582417582417584,
64, 1529, 0, 23.02158273381295, 91.66666666666666, 18.41967556253271,
65, 1529, 0, 24.06801831262263, 95.83333333333334, 19.25693354264783,
66, 1529, 0, 25.11445389143231, 100.0, 20.09419152276295,
67, 2039, 0, 19.6174595389897, 78.125, 15.698587127158559,
68, 2039, 0, 20.40215792054929, 81.25, 16.3265306122449,
69, 2039, 0, 21.186856302108875, 84.375, 16.95447409733124,
70, 2039, 0, 21.971554683668465, 87.5, 17.582417582417584,
71, 2039, 0, 22.75625306522805, 90.625, 18.21036106750393,
72, 2039, 0, 23.54095144678764, 93.75, 18.83830455259027,
73, 2039, 0, 24.325649828347228, 96.875, 19.46624803767661,
74, 2039, 0, 25.110348209906817, 100.0, 20.09419152276295,
