dim_0,dim_1,size,actual,linear_pred,residual_actual,residual_pred,hybrid_pred,abs_error_linear,abs_error_hybrid,rel_error_linear_pct,rel_error_hybrid_pct
14112041,1,14112041,174.06573229999998,345.5472443487519,-171.48151204875194,-170.638562581716,174.90868176703592,171.48151204875194,0.8429494670359361,98.51537679639655,0.48427077282685593
16305028,1,16305028,201.3157053,399.4806173988145,-198.1649120988145,-198.69826343071566,200.78235396809885,198.1649120988145,0.5333513319011445,98.4348994548189,0.2649327985148233
10177487,1,10177487,126.2729909,248.78252633281483,-122.50953543281483,-123.01384090801484,125.76868542479998,122.50953543281483,0.5043054752000131,97.0195879258411,0.39937715231548626
4673251,1,4673251,59.128294700000005,113.41372864108922,-54.28543394108922,-55.52731720656857,57.88641143452065,54.28543394108922,1.241883265479352,91.8095714015057,2.10031977377381
4689091,1,4689091,59.436991,113.80329074479208,-54.36629974479208,-55.52731720656857,58.27597353822351,54.36629974479208,1.1610174617764883,91.4687954926791,1.9533584090360299
3181993,1,3181993,40.9734015,76.7383748757043,-35.764973375704294,-35.21756402312728,41.520810852577014,35.764973375704294,0.547409352577013,87.28827011275668,1.3360114916917818
11079581,1,11079581,136.9972857,270.96823570009474,-133.97095000009475,-131.39734790580127,139.57088779429347,133.97095000009475,2.573602094293477,97.79095207292472,1.8785788938397028
471162,1,471162,9.3078838,10.069370636885647,-0.7614868368856467,-0.7199565732000865,9.349414063685561,0.7614868368856467,0.04153026368556034,8.181095222585895,0.446183736044925
11178161,1,11178161,138.15145540000003,273.3926695500333,-135.24121415003327,-134.77143563351652,138.6212339165168,135.24121415003327,0.4697785165167545,97.89344148308787,0.3400460133818861
10912048,1,10912048,134.97582129999998,266.84800161425835,-131.87218031425837,-131.39734790580127,135.45065370845708,131.87218031425837,0.47483240845710384,97.70059485035961,0.35179071620666913
8006622,1,8006622,100.1597233,195.39321217530997,-95.23348887530997,-93.40056886962405,101.99264330568592,95.23348887530997,1.8329200056859207,95.08162137196118,1.8299970739694735
9767383,1,9767383,121.3161697,238.6966060691184,-117.38043636911839,-118.1872582185605,120.50934785055789,117.38043636911839,0.806821849442116,96.75580481924693,0.6650571407235222
12915140,1,12915140,159.56187490000002,316.1111792298101,-156.54930432981007,-156.98509053091942,159.12608869889067,156.54930432981007,0.4357862011093516,98.11197344473548,0.27311423946507635
6169611,1,6169611,77.4728393,150.21455878608856,-72.74171948608856,-70.72804593276648,79.48651285332208,72.74171948608856,2.0136735533220786,93.89318907547583,2.5991993729886165
6265604,1,6265604,78.62214300000001,152.57536907780238,-73.95322607780237,-74.77582986843836,77.79953920936401,73.95322607780237,0.8226037906359949,94.06157509316728,1.0462749541639875
10882536,1,10882536,135.010723,266.12219626044026,-131.11147326044025,-131.39734790580127,134.724848354639,131.11147326044025,0.2858746453610195,97.11189626059571,0.2117421779609457
9094525,1,9094525,112.93858029999998,222.14862766171376,-109.21004736171378,-104.45573350542772,117.69289415628604,109.21004736171378,4.7543138562860605,96.69861890561926,4.209645493733961
3930375,1,3930375,49.9744198,95.14375784876886,-45.16933804876886,-45.32468240624146,49.8190754425274,45.16933804876886,0.15534435747260034,90.38491738281043,0.31084774589539177
3375829,1,3375829,43.4058391,81.50549355836495,-38.099654458364945,-37.552750125419585,43.95274343294536,38.099654458364945,0.5469043329453598,87.7754128208178,1.259978713198888
1517804,1,1517804,27.6968662,35.810030948991276,-8.113164748991277,-8.241959887181169,27.56807106181011,8.113164748991277,0.12879513818988997,29.29271741577492,0.465017006833394
2482924,1,2482924,32.502008800000006,59.54577447965352,-27.04376567965351,-27.13353516655581,32.41223931309771,27.04376567965351,0.08976948690229847,83.20644378034106,0.27619673434553516
4157232,1,4157232,52.8072766,100.72298071238731,-47.91570411238731,-48.00562735041498,52.71735336197233,47.91570411238731,0.08992323802767288,90.7369347511235,0.17028569511133032
7065776,1,7065776,88.2385712,172.25445289371862,-84.01588169371863,-84.4550230134179,87.79942988030072,84.01588169371863,0.4391413196992744,95.21446296233617,0.49767501187652324
2348955,1,2348955,30.8177409,56.25099888173897,-25.433257981738972,-25.226663761481213,31.02433512025776,25.433257981738972,0.20659422025775953,82.52797654528588,0.6703743175988591
14632036,1,14632036,180.4081342,358.33577630045403,-177.92764210045402,-177.50601238854267,180.82976391191136,177.92764210045402,0.42162971191135057,98.62506637489187,0.23370881461693568
1321331,1,1321331,24.1667142,30.97805902974828,-6.811344829748279,-6.207042979569246,24.771016050179036,6.811344829748279,0.6043018501790343,28.184819720954362,2.500554461719228
12031120,1,12031120,148.6716963,294.3699739952527,-145.69827769525267,-144.9505935344778,149.41938046077487,145.69827769525267,0.7476841607748668,98.00001030542668,0.5029095513016398
5308601,1,5308601,66.95715170000001,129.0392515317207,-62.0820998317207,-63.06119501473435,65.97805651698636,62.0820998317207,0.979095183013655,92.71914688049773,1.4622712558032165
12052793,1,12052793,148.71099099999998,294.90299037615875,-146.19199937615878,-146.7989340384273,148.10405633773146,146.19199937615878,0.6069346622685146,98.30611603964013,0.4081303326588111
5371387,1,5371387,67.634277,130.5833832389863,-62.9491062389863,-63.06119501473435,67.52218822425195,62.9491062389863,0.11208877574804887,93.0727865088087,0.16572776515086998
15036927,1,15036927,185.5249642,368.29349029858207,-182.76852609858207,-183.07937575392782,185.21411454465425,182.76852609858207,0.3108496553457485,98.51424949019453,0.1675513894780466
1569666,1,1569666,28.589848,37.08550252867796,-8.495654528677957,-8.744132927881243,28.341369600796714,8.495654528677957,0.24847839920328596,29.7156337755904,0.8691140967356175
14943540,1,14943540,183.9775802,365.99677084286884,-182.01919064286884,-181.2377454012112,184.75902544165763,182.01919064286884,0.7814452416576216,98.93552814696105,0.4247502553344386
8698213,1,8698213,108.0814018,212.40190187619092,-104.32050007619092,-104.00857936586623,108.3933225103247,104.32050007619092,0.31192071032469926,96.52030630508618,0.28859795036882957
14977515,1,14977515,184.3308573,366.8323372868906,-182.50147998689062,-181.2377454012112,185.5945918856794,182.50147998689062,1.2637345856794013,99.00755774702873,0.6855795086021126
1305610,1,1305610,23.9830088,30.59142356053664,-6.60841476053664,-6.207042979569246,24.384380580967395,6.60841476053664,0.4013717809673949,27.554569218757237,1.6735672505252757
16595441,1,16595441,204.5457234,406.6229090164063,-202.0771856164063,-198.69826343071566,207.92464558569066,202.0771856164063,3.378922185690641,98.79316089206796,1.6519153417267882
7164699,1,7164699,89.31841969999998,174.6873223371906,-85.36890263719063,-84.4550230134179,90.23229932377271,85.36890263719063,0.9138796237727291,95.57816061225124,1.0231703906565304
3281099,1,3281099,42.2906073,79.17574494196529,-36.885137641965294,-37.552750125419585,41.622994816545706,36.885137641965294,0.6676124834542918,87.21827374175659,1.5786306371019927
3989753,1,3989753,50.8082857,96.60407467917716,-45.79578897917716,-45.55410996413248,51.04996471504468,45.79578897917716,0.24167901504468148,90.13448957829561,0.47566850901383884
6661105,1,6661105,83.6442948,162.3021494803642,-78.6578546803642,-79.1081641438399,83.19398533652429,78.6578546803642,0.4503094634757048,94.03851735308575,0.538362436496631
6114328,1,6114328,76.93072329999998,148.8549526131716,-71.92422931317162,-70.72804593276648,78.12690668040513,71.92422931317162,1.1961833804051452,93.49220471084749,1.55488383456437
2729500,1,2729500,35.4005715,65.60995789396114,-30.20938639396114,-29.84550499733991,35.76445289662123,30.20938639396114,0.3638813966212311,85.33587203235162,1.027896955339354
5182152,1,5182152,65.51187499999999,125.9294195587964,-60.41754455879641,-60.29088450433301,65.63853505446339,60.41754455879641,0.12666005446340023,92.2238060791214,0.19333907701985364
1419273,1,1419273,25.943142900000005,33.38680218384324,-7.443659283843232,-7.880249125570036,25.5065530582732,7.443659283843232,0.4365898417268035,28.69220322508893,1.6828718224683694
6903346,1,6903346,86.36569649999998,168.25971978106375,-81.89402328106377,-82.37924302621244,85.88047675485132,81.89402328106377,0.48521974514866884,94.82239662255695,0.5618199873472552
15390223,1,15390223,189.9124466,376.98229919945334,-187.06985259945333,-187.06424533455606,189.91805386489727,187.06985259945333,0.005607264897264486,98.50320816174106,0.0029525526091898
12497324,1,12497324,154.85225889999998,305.83559337623007,-150.98333447623008,-151.90500242798367,153.9305909482464,150.98333447623008,0.9216679517535908,97.50153827186445,0.5951918030132081
12602338,1,12602338,155.762723,308.4182622372307,-152.6555392372307,-151.90500242798367,156.51325980924702,152.6555392372307,0.7505368092470235,98.00518140481577,0.4818462304662095
9105782,1,9105782,113.50441979999998,222.4254774471546,-108.92105764715463,-104.45573350542772,117.96974394172689,108.92105764715463,4.46532414172691,95.96195270552332,3.9340530964300924
9715044,1,9715044,120.59014309999998,237.40940335789975,-116.81926025789977,-115.93582076193434,121.47358259596541,116.81926025789977,0.8834394959654333,96.87297589573869,0.7325967722194646
3855284,1,3855284,49.26870509999999,93.29700229768612,-44.02829719768613,-41.217641121146805,52.079361176539315,44.02829719768613,2.810656076539324,89.36361755057803,5.7047492334831515
11023326,1,11023326,136.9431249,269.5847245799051,-132.64159967990514,-131.39734790580127,138.18737667410386,132.64159967990514,1.2442517741038728,96.85889655049426,0.9085901720239428
3335322,1,3335322,42.96885719999999,80.5092819337001,-37.54042473370011,-37.552750125419585,42.95653180828051,37.54042473370011,0.012325391719478773,87.3665886876324,0.028684476438621175
2209046,1,2209046,28.976000100000004,52.81013749493585,-23.834137394935848,-23.3803092838508,29.429828211085052,23.834137394935848,0.4538281110850484,82.25475328782818,1.5662206982289744
2841040,1,2841040,36.9875804,68.35312437420201,-31.365543974202012,-31.2779108716648,37.07521350253721,31.365543974202012,0.08763310253721102,84.80020492014128,0.23692575072364297
8754907,1,8754907,108.760598,213.79620957236068,-105.03561157236068,-104.45573350542772,109.34047606693296,105.03561157236068,0.5798780669329631,96.57505889436234,0.5331692520971272
2142718,1,2142718,28.327151800000003,51.178895372814495,-22.85174357281449,-23.3803092838508,27.798586088963695,22.85174357281449,0.5285657110363076,80.67081270350127,1.8659331328760964
13353108,1,13353108,164.54572319999997,326.88237464865654,-162.33665144865657,-162.4263583500677,164.45601629858885,162.33665144865657,0.08970690141111959,98.65747239832035,0.054517917370653125
1412690,1,1412690,25.870178700000004,33.224902731275314,-7.35472403127531,-7.092444522198783,26.132458209076532,7.35472403127531,0.262279509076528,28.42935148057292,1.013829522084159
7244213,1,7244213,90.705884,176.64285523579088,-85.93697123579088,-86.17984789538667,90.4630073404042,85.93697123579088,0.24287665959579385,94.74244387033467,0.2677628494263877
16371255,1,16371255,201.5282409,401.1093755706534,-199.58113467065343,-198.69826343071566,202.41111213993776,199.58113467065343,0.8828712399377707,99.03382959100371,0.4380880992137766
16623065,1,16623065,204.6077052,407.3022817154396,-202.69457651543962,-198.69826343071566,208.60401828472396,202.69457651543962,3.9963130847239654,99.06497720469993,1.9531586461114199
11415900,1,11415900,141.3825625,279.23951961141023,-137.85695711141022,-137.14171336277838,142.09780624863185,137.85695711141022,0.715243748631849,97.50633647725138,0.5058924778165971
10798652,1,10798652,133.9089911,264.0591894733816,-130.15019837338158,-128.54828755677192,135.51090191660967,130.15019837338158,1.60191081660966,97.1930243848888,1.19626830390604
4978367,1,4978367,62.7310269,120.91761947653097,-58.18659257653097,-58.52311570707656,62.39450376945441,58.18659257653097,0.3365231305455936,92.75568319531362,0.5364540438371073
12717302,1,12717302,157.07196439999998,311.2456370914033,-154.1736726914033,-153.81715441116125,157.42848268024204,154.1736726914033,0.35651828024205656,98.1548001136499,0.22697766695916904
1322576,1,1322576,24.2779645,31.008678020853715,-6.730713520853715,-6.207042979569246,24.80163504128447,6.730713520853715,0.5236705412844707,27.723549562211918,2.1569787750718175
7552790,1,7552790,94.4957679,184.231864407149,-89.736096507149,-92.17530936170937,92.05655504543964,89.736096507149,2.439212854560367,94.96308512156024,2.581293224836968
512885,1,512885,10.017732,11.095488039208488,-1.077756039208488,-1.1774785391939242,9.918009500014564,1.077756039208488,0.09972249998543603,10.758483449232699,0.9954598504475467
