kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count
matmul_1024x1024x1024,1024,1024,1024,6.891625,6.699922,7.040078,0.09742190003117482,20
matmul_1024x1024x1536,1024,1024,1536,8.7119062,8.62875,9.005,0.11687497064032917,10
matmul_1024x1024x2048,1024,1024,2048,10.6296406,10.501328,10.752422,0.0933504275967112,10
matmul_1024x1024x2560,1024,1024,2560,12.6240938,12.50875,12.742422,0.06896468837794216,10
matmul_1024x1024x3072,1024,1024,3072,13.0880468,12.880078,13.41375,0.15931062434878615,10
matmul_1024x1024x3584,1024,1024,3584,17.0736406,16.864922,17.225,0.11738592342279515,10
matmul_1024x1024x4096,1024,1024,4096,16.0973202,15.695078,16.290234,0.22012818584219912,10
matmul_1024x1536x1024,1024,1536,1024,8.495375,8.283672,8.62,0.11648723961113618,10
matmul_1024x1536x1536,1024,1536,1536,11.134625,10.939844,11.723828,0.2308423015331267,10
matmul_1024x1536x2048,1024,1536,2048,13.7895,13.642656,13.91875,0.0814224634633735,10
matmul_1024x1536x2560,1024,1536,2560,16.5817656,16.398828,16.919922,0.14730317573645288,10
matmul_1024x1536x3072,1024,1536,3072,16.5008046,16.300234,17.227578,0.2842661379748842,10
matmul_1024x1536x3584,1024,1536,3584,18.4201172,18.22625,18.611172,0.12240602997201988,10
matmul_1024x1536x4096,1024,1536,4096,21.025664,20.795078,21.32,0.15211190080405373,10
matmul_1024x2048x1024,1024,2048,1024,10.162039,10.027422,10.2525,0.08228346356481488,10
matmul_1024x2048x1536,1024,2048,1536,13.393,13.247422,13.47125,0.06858066054573156,10
matmul_1024x2048x2048,1024,2048,2048,16.9598828,16.635,17.126328,0.15254710640964483,10
matmul_1024x2048x2560,1024,2048,2560,20.1787734,19.935078,20.401328,0.13251976943351187,10
matmul_1024x2048x3072,1024,2048,3072,23.4119844,23.23,23.686172,0.13855564422137373,10
matmul_1024x2048x3584,1024,2048,3584,27.9516172,27.724922,28.305,0.17193332511360962,10
matmul_1024x2048x4096,1024,2048,4096,27.0910312,26.79,27.343906,0.1902398984842265,10
matmul_1024x2560x1024,1024,2560,1024,11.7618046,11.554922,11.963906,0.14254450868896304,10
matmul_1024x2560x1536,1024,2560,1536,15.7196954,15.5775,15.882344,0.09316065312518534,10
matmul_1024x2560x2048,1024,2560,2048,19.92125,19.747344,20.274922,0.14865188890678668,10
matmul_1024x2560x2560,1024,2560,2560,23.77175,23.552344,23.944922,0.10457670922342054,10
matmul_1024x2560x3072,1024,2560,3072,27.6411954,27.538594,27.73375,0.06322761611159806,10
matmul_1024x2560x3584,1024,2560,3584,33.4480234,33.165,33.69875,0.1645234497356938,10
matmul_1024x2560x4096,1024,2560,4096,32.1320234,31.820078,32.545,0.22820644798378986,10
matmul_1024x3072x1024,1024,3072,1024,13.346211,13.107344,13.46375,0.11112425921862831,10
matmul_1024x3072x1536,1024,3072,1536,17.4514532,17.232344,17.604844,0.13887566532597823,10
matmul_1024x3072x2048,1024,3072,2048,22.516336,22.443828,22.640078,0.06491534027913268,10
matmul_1024x3072x2560,1024,3072,2560,26.7627266,26.542578,27.009844,0.13270900285645892,10
matmul_1024x3072x3072,1024,3072,3072,31.7635,31.357344,32.148828,0.2712875909452711,10
matmul_1024x3072x3584,1024,3072,3584,38.4903516,38.17375,38.915,0.22056067869318882,10
matmul_1024x3072x4096,1024,3072,4096,39.7573358,39.4475,39.97875,0.14196194253218378,10
matmul_1024x3584x1024,1024,3584,1024,15.0316094,14.83375,15.275078,0.13519879498822007,10
matmul_1024x3584x1536,1024,3584,1536,21.7051328,21.4825,21.879922,0.13990270689208745,10
matmul_1024x3584x2048,1024,3584,2048,26.2956562,26.14625,26.406328,0.07578464543662913,10
matmul_1024x3584x2560,1024,3584,2560,30.9911094,30.886094,31.221094,0.10807200060474119,10
matmul_1024x3584x3072,1024,3584,3072,35.977109399999996,35.753828,36.357578,0.21511873702172554,10
matmul_1024x3584x3584,1024,3584,3584,43.9960078,43.85125,44.127422,0.09467169323016641,10
matmul_1024x3584x4096,1024,3584,4096,44.8343358,44.566328,45.251328,0.2140994559429487,10
matmul_1024x4096x1024,1024,4096,1024,16.4986484,16.396406,16.661328,0.09200904486359625,10
matmul_1024x4096x1536,1024,4096,1536,21.678312599999998,21.585,21.878672,0.08634652879878875,10
matmul_1024x4096x2048,1024,4096,2048,27.3213828,27.033672,27.49125,0.12727034134104745,10
