kernel_name,event_type,event_name,dur(us)
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),9.01625
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),7.060156
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),7.028828
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.970078
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.72
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.863672
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.8875
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.865
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.985078
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.863828
matmul_1024x1024x1024,sub,copy-start,0.012344
matmul_1024x1024x1024,sub,copy-done,2.14375
matmul_1024x1024x1024,sub,fusion,6.854922
matmul_1024x1024x1024,sub,copy-start,0.011328
matmul_1024x1024x1024,sub,copy-done,0.0025
matmul_1024x1024x1024,sub,fusion,7.040078
matmul_1024x1024x1024,sub,copy-start,0.0125
matmul_1024x1024x1024,sub,copy-done,0.0025
matmul_1024x1024x1024,sub,fusion,7.00875
matmul_1024x1024x1024,sub,copy-start,0.011328
matmul_1024x1024x1024,sub,copy-done,0.002578
matmul_1024x1024x1024,sub,fusion,6.95
matmul_1024x1024x1024,sub,copy-start,0.0125
matmul_1024x1024x1024,sub,copy-done,0.003672
matmul_1024x1024x1024,sub,fusion,6.699922
matmul_1024x1024x1024,sub,copy-start,0.012344
matmul_1024x1024x1024,sub,copy-done,0.003672
matmul_1024x1024x1024,sub,fusion,6.842422
matmul_1024x1024x1024,sub,copy-start,0.012422
matmul_1024x1024x1024,sub,copy-done,0.003672
matmul_1024x1024x1024,sub,fusion,6.866328
matmul_1024x1024x1024,sub,copy-start,0.0125
matmul_1024x1024x1024,sub,copy-done,0.0025
matmul_1024x1024x1024,sub,fusion,6.845078
matmul_1024x1024x1024,sub,copy-start,0.0125
matmul_1024x1024x1024,sub,copy-done,0.003672
matmul_1024x1024x1024,sub,fusion,6.965
matmul_1024x1024x1024,sub,copy-start,0.012344
matmul_1024x1024x1024,sub,copy-done,0.0025
matmul_1024x1024x1024,sub,fusion,6.84375
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),9.01625
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),7.060156
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),7.028828
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.970078
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.72
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.863672
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.8875
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.865
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.985078
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(8899505252216943130),6.863828
matmul_1024x1024x1024,sub,copy-start,0.012344
matmul_1024x1024x1024,sub,copy-done,2.14375
matmul_1024x1024x1024,sub,fusion,6.854922
matmul_1024x1024x1024,sub,copy-start,0.011328
matmul_1024x1024x1024,sub,copy-done,0.0025
matmul_1024x1024x1024,sub,fusion,7.040078
matmul_1024x1024x1024,sub,copy-start,0.0125
matmul_1024x1024x1024,sub,copy-done,0.0025
matmul_1024x1024x1024,sub,fusion,7.00875
matmul_1024x1024x1024,sub,copy-start,0.011328
matmul_1024x1024x1024,sub,copy-done,0.002578
matmul_1024x1024x1024,sub,fusion,6.95
matmul_1024x1024x1024,sub,copy-start,0.0125
matmul_1024x1024x1024,sub,copy-done,0.003672
matmul_1024x1024x1024,sub,fusion,6.699922
matmul_1024x1024x1024,sub,copy-start,0.012344
matmul_1024x1024x1024,sub,copy-done,0.003672
matmul_1024x1024x1024,sub,fusion,6.842422
matmul_1024x1024x1024,sub,copy-start,0.012422
matmul_1024x1024x1024,sub,copy-done,0.003672
matmul_1024x1024x1024,sub,fusion,6.866328
matmul_1024x1024x1024,sub,copy-start,0.0125
matmul_1024x1024x1024,sub,copy-done,0.0025
matmul_1024x1024x1024,sub,fusion,6.845078
matmul_1024x1024x1024,sub,copy-start,0.0125
matmul_1024x1024x1024,sub,copy-done,0.003672
matmul_1024x1024x1024,sub,fusion,6.965
matmul_1024x1024x1024,sub,copy-start,0.012344
matmul_1024x1024x1024,sub,copy-done,0.0025
matmul_1024x1024x1024,sub,fusion,6.84375
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(17719337260275239434),11.329922
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(17719337260275239434),8.649844
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(17719337260275239434),8.74875
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(17719337260275239434),8.678672
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(17719337260275239434),8.6725
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(17719337260275239434),8.82625
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(17719337260275239434),8.668594
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(17719337260275239434),8.73625
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(17719337260275239434),8.67
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(17719337260275239434),9.025078
matmul_1024x1024x1536,sub,copy-start,0.012344
matmul_1024x1024x1536,sub,copy-done,2.677656
matmul_1024x1024x1536,sub,fusion,8.632656
matmul_1024x1024x1536,sub,copy-start,0.011328
matmul_1024x1024x1536,sub,copy-done,0.002578
matmul_1024x1024x1536,sub,fusion,8.62875
matmul_1024x1024x1536,sub,copy-start,0.0125
matmul_1024x1024x1536,sub,copy-done,0.003672
matmul_1024x1024x1536,sub,fusion,8.7275
matmul_1024x1024x1536,sub,copy-start,0.0125
matmul_1024x1024x1536,sub,copy-done,0.0025
matmul_1024x1024x1536,sub,fusion,8.656328
matmul_1024x1024x1536,sub,copy-start,0.0125
matmul_1024x1024x1536,sub,copy-done,0.003672
matmul_1024x1024x1536,sub,fusion,8.651328
matmul_1024x1024x1536,sub,copy-start,0.0125
matmul_1024x1024x1536,sub,copy-done,0.003594
matmul_1024x1024x1536,sub,fusion,8.805078
matmul_1024x1024x1536,sub,copy-start,0.0125
matmul_1024x1024x1536,sub,copy-done,0.0025
matmul_1024x1024x1536,sub,fusion,8.647344
matmul_1024x1024x1536,sub,copy-start,0.0125
matmul_1024x1024x1536,sub,copy-done,0.003672
matmul_1024x1024x1536,sub,fusion,8.716172
matmul_1024x1024x1536,sub,copy-start,0.011328
matmul_1024x1024x1536,sub,copy-done,0.0025
matmul_1024x1024x1536,sub,fusion,8.648906
matmul_1024x1024x1536,sub,copy-start,0.0125
matmul_1024x1024x1536,sub,copy-done,0.003672
matmul_1024x1024x1536,sub,fusion,9.005
matmul_1024x1024x2048,main,jit_validation_matrix_multiply(11349022743462987877),14.09625
matmul_1024x1024x2048,main,jit_validation_matrix_multiply(11349022743462987877),10.549844
matmul_1024x1024x2048,main,jit_validation_matrix_multiply(11349022743462987877),10.638828
matmul_1024x1024x2048,main,jit_validation_matrix_multiply(11349022743462987877),10.77375
matmul_1024x1024x2048,main,jit_validation_matrix_multiply(11349022743462987877),10.5225
matmul_1024x1024x2048,main,jit_validation_matrix_multiply(11349022743462987877),10.665156
matmul_1024x1024x2048,main,jit_validation_matrix_multiply(11349022743462987877),10.661406
matmul_1024x1024x2048,main,jit_validation_matrix_multiply(11349022743462987877),10.771094
matmul_1024x1024x2048,main,jit_validation_matrix_multiply(11349022743462987877),10.526094
matmul_1024x1024x2048,main,jit_validation_matrix_multiply(11349022743462987877),10.7275
matmul_1024x1024x2048,sub,copy-start,0.011406
matmul_1024x1024x2048,sub,copy-done,3.430156
matmul_1024x1024x2048,sub,fusion,10.647734
matmul_1024x1024x2048,sub,copy-start,0.0125
matmul_1024x1024x2048,sub,copy-done,0.0025
matmul_1024x1024x2048,sub,fusion,10.52875
matmul_1024x1024x2048,sub,copy-start,0.011328
matmul_1024x1024x2048,sub,copy-done,0.003594
matmul_1024x1024x2048,sub,fusion,10.61875
matmul_1024x1024x2048,sub,copy-start,0.012422
matmul_1024x1024x2048,sub,copy-done,0.003672
matmul_1024x1024x2048,sub,fusion,10.752422
matmul_1024x1024x2048,sub,copy-start,0.012422
matmul_1024x1024x2048,sub,copy-done,0.003672
matmul_1024x1024x2048,sub,fusion,10.501328
matmul_1024x1024x2048,sub,copy-start,0.0125
matmul_1024x1024x2048,sub,copy-done,0.002578
matmul_1024x1024x2048,sub,fusion,10.645078
matmul_1024x1024x2048,sub,copy-start,0.012422
matmul_1024x1024x2048,sub,copy-done,0.003672
matmul_1024x1024x2048,sub,fusion,10.64125
matmul_1024x1024x2048,sub,copy-start,0.0125
matmul_1024x1024x2048,sub,copy-done,0.0025
matmul_1024x1024x2048,sub,fusion,10.749922
matmul_1024x1024x2048,sub,copy-start,0.0125
matmul_1024x1024x2048,sub,copy-done,0.0025
matmul_1024x1024x2048,sub,fusion,10.504922
matmul_1024x1024x2048,sub,copy-start,0.0125
matmul_1024x1024x2048,sub,copy-done,0.0025
matmul_1024x1024x2048,sub,fusion,10.70625
matmul_1024x1024x2560,main,jit_validation_matrix_multiply(6288870584220064072),17.078906
matmul_1024x1024x2560,main,jit_validation_matrix_multiply(6288870584220064072),12.53
matmul_1024x1024x2560,main,jit_validation_matrix_multiply(6288870584220064072),12.751094
matmul_1024x1024x2560,main,jit_validation_matrix_multiply(6288870584220064072),12.619844
matmul_1024x1024x2560,main,jit_validation_matrix_multiply(6288870584220064072),12.608672
matmul_1024x1024x2560,main,jit_validation_matrix_multiply(6288870584220064072),12.628828
matmul_1024x1024x2560,main,jit_validation_matrix_multiply(6288870584220064072),12.65
matmul_1024x1024x2560,main,jit_validation_matrix_multiply(6288870584220064072),12.608672
matmul_1024x1024x2560,main,jit_validation_matrix_multiply(6288870584220064072),12.664922
matmul_1024x1024x2560,main,jit_validation_matrix_multiply(6288870584220064072),12.624922
matmul_1024x1024x2560,sub,copy-start,0.011328
matmul_1024x1024x2560,sub,copy-done,4.319922
matmul_1024x1024x2560,sub,fusion,12.742422
matmul_1024x1024x2560,sub,copy-start,0.011328
matmul_1024x1024x2560,sub,copy-done,0.002656
matmul_1024x1024x2560,sub,fusion,12.50875
matmul_1024x1024x2560,sub,copy-start,0.011328
matmul_1024x1024x2560,sub,copy-done,0.002578
matmul_1024x1024x2560,sub,fusion,12.729922
matmul_1024x1024x2560,sub,copy-start,0.011328
matmul_1024x1024x2560,sub,copy-done,0.003672
matmul_1024x1024x2560,sub,fusion,12.598672
matmul_1024x1024x2560,sub,copy-start,0.0125
matmul_1024x1024x2560,sub,copy-done,0.0025
matmul_1024x1024x2560,sub,fusion,12.588594
matmul_1024x1024x2560,sub,copy-start,0.011328
matmul_1024x1024x2560,sub,copy-done,0.002578
matmul_1024x1024x2560,sub,fusion,12.60875
matmul_1024x1024x2560,sub,copy-start,0.0125
matmul_1024x1024x2560,sub,copy-done,0.0025
matmul_1024x1024x2560,sub,fusion,12.62875
matmul_1024x1024x2560,sub,copy-start,0.012344
matmul_1024x1024x2560,sub,copy-done,0.0025
matmul_1024x1024x2560,sub,fusion,12.5875
matmul_1024x1024x2560,sub,copy-start,0.011406
matmul_1024x1024x2560,sub,copy-done,0.002656
matmul_1024x1024x2560,sub,fusion,12.64375
matmul_1024x1024x2560,sub,copy-start,0.012422
matmul_1024x1024x2560,sub,copy-done,0.003672
matmul_1024x1024x2560,sub,fusion,12.603828
matmul_1024x1024x3072,main,jit_validation_matrix_multiply(6889504793737331932),18.2875
matmul_1024x1024x3072,main,jit_validation_matrix_multiply(6889504793737331932),12.95375
matmul_1024x1024x3072,main,jit_validation_matrix_multiply(6889504793737331932),13.015
