kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count,scale_sim_cycles
matmul_112x112x112,112,112,112,1.2188242,1.177656,1.357422,0.0617722954249164,20,494
matmul_112x112x128,112,112,128,1.2487656,1.193828,1.3725,0.067303619590159,20,494
matmul_112x112x32,112,112,32,1.2662578,1.2375,1.34375,0.030554138139237,20,494
matmul_112x112x48,112,112,48,1.2878906,1.236328,1.401328,0.0582766814830227,20,494
matmul_112x112x64,112,112,64,1.2910977,1.247344,1.4375,0.0567151308884564,20,494
matmul_112x112x80,112,112,80,1.328832,1.252344,1.443828,0.0705730976476089,20,494
matmul_112x112x96,112,112,96,1.2996211,1.251328,1.413594,0.0637500983676433,20,494
matmul_112x128x112,112,128,112,1.2389024,1.182578,1.3575,0.0651589027002046,20,494
matmul_112x128x128,112,128,128,1.2476992,1.211172,1.385,0.0443874400366874,20,494
matmul_112x128x32,112,128,32,1.2545664,1.22875,1.340078,0.0399185111345601,20,494
matmul_112x128x48,112,128,48,1.3017734,1.25,1.5925,0.0885979946288438,20,494
matmul_112x128x64,112,128,64,1.3184375,1.28125,1.436172,0.0457738695666562,20,494
matmul_112x128x80,112,128,80,1.318832,1.2625,1.41125,0.0470071703869683,20,494
matmul_112x128x96,112,128,96,1.3269492,1.269844,1.421406,0.0574372786021504,20,494
matmul_112x32x112,112,32,112,1.1753984,1.15875,1.293828,0.0333348343208722,20,414
matmul_112x32x128,112,32,128,1.180793,1.130156,1.25625,0.0501370167168246,20,414
matmul_112x32x32,112,32,32,1.2244453,1.198828,1.346328,0.0393210046092951,20,414
matmul_112x32x48,112,32,48,1.165336,1.113594,1.294922,0.062805030572902,20,414
matmul_112x32x64,112,32,64,1.1594258,1.099922,1.280156,0.0719516292164761,20,414
matmul_112x32x80,112,32,80,1.1667226,1.12625,1.242656,0.0467438502844013,20,414
matmul_112x32x96,112,32,96,1.1955429,1.142656,1.295,0.0592558604500321,20,414
matmul_112x48x112,112,48,112,1.1866133,1.163594,1.304922,0.0368438058281885,20,430
