kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count
matmul_112x112x112,112,112,112,1.2188242,1.177656,1.357422,0.06177229542491648,20
matmul_112x112x128,112,112,128,1.2487656,1.193828,1.3725,0.06730361959015908,20
matmul_112x112x32,112,112,32,1.2662578,1.2375,1.34375,0.030554138139237054,20
matmul_112x112x48,112,112,48,1.2878906,1.236328,1.401328,0.05827668148302271,20
matmul_112x112x64,112,112,64,1.2910977,1.247344,1.4375,0.05671513088845641,20
matmul_112x112x80,112,112,80,1.328832,1.252344,1.443828,0.07057309764760894,20
matmul_112x112x96,112,112,96,1.2996211,1.251328,1.413594,0.06375009836764339,20
matmul_112x128x112,112,128,112,1.2389024,1.182578,1.3575,0.06515890270020464,20
matmul_112x128x128,112,128,128,1.2476992,1.211172,1.385,0.04438744003668749,20
matmul_112x128x32,112,128,32,1.2545664,1.22875,1.340078,0.03991851113456011,20
matmul_112x128x48,112,128,48,1.3017734,1.25,1.5925,0.0885979946288438,20
matmul_112x128x64,112,128,64,1.3184375,1.28125,1.436172,0.045773869566656286,20
matmul_112x128x80,112,128,80,1.318832,1.2625,1.41125,0.047007170386968326,20
matmul_112x128x96,112,128,96,1.3269492,1.269844,1.421406,0.05743727860215046,20
matmul_112x32x112,112,32,112,1.1753984,1.15875,1.293828,0.03333483432087221,20
matmul_112x32x128,112,32,128,1.180793,1.130156,1.25625,0.05013701671682469,20
matmul_112x32x32,112,32,32,1.2244453,1.198828,1.346328,0.03932100460929513,20
matmul_112x32x48,112,32,48,1.165336,1.113594,1.294922,0.062805030572902,20
matmul_112x32x64,112,32,64,1.1594258,1.099922,1.280156,0.07195162921647616,20
matmul_112x32x80,112,32,80,1.1667226,1.12625,1.242656,0.046743850284401325,20
matmul_112x32x96,112,32,96,1.1955429,1.142656,1.295,0.05925586045003215,20
matmul_112x48x112,112,48,112,1.1866133,1.163594,1.304922,0.03684380582818858,20
matmul_112x48x128,112,48,128,1.2165274,1.163594,1.3325,0.05835403543741923,20
matmul_112x48x32,112,48,32,1.2564922,1.202578,1.416172,0.06654058541150104,20
matmul_112x48x48,112,48,48,1.2711991999999999,1.20875,1.422656,0.06772051899076784,20
matmul_112x48x64,112,48,64,1.1853125,1.137422,1.28875,0.05327322204743947,20
matmul_112x48x80,112,48,80,1.1863359,1.141406,1.3825,0.07296192654564869,20
matmul_112x48x96,112,48,96,1.1966875,1.147656,1.347344,0.06220194483970827,20
matmul_112x64x112,112,64,112,1.1913476,1.167422,1.310078,0.03903975307622516,20
matmul_112x64x128,112,64,128,1.1995117,1.167578,1.32875,0.04880374636299102,20
matmul_112x64x32,112,64,32,1.2401484,1.198906,1.373594,0.05919189322018238,20
matmul_112x64x48,112,64,48,1.275293,1.225,1.380078,0.05443535750536448,20
matmul_112x64x64,112,64,64,1.2854609,1.22875,1.40625,0.06662142651216489,20
matmul_112x64x80,112,64,80,1.2334336,1.154922,1.375078,0.0752458635298838,20
matmul_112x64x96,112,64,96,1.1855469,1.14125,1.360078,0.06790030644214239,20
matmul_112x80x112,112,80,112,1.2151836,1.167578,1.366172,0.06438563910359942,20
matmul_112x80x128,112,80,128,1.2466367,1.19,1.37125,0.05720179776812321,20
matmul_112x80x32,112,80,32,1.2295859,1.18875,1.343828,0.04865010697656867,20
matmul_112x80x48,112,80,48,1.2517031,1.23125,1.332422,0.03290078414982968,20
matmul_112x80x64,112,80,64,1.2864765,1.236406,1.437422,0.06853653180565361,20
matmul_112x80x80,112,80,80,1.314664,1.263906,1.50875,0.07130753697818161,20
matmul_112x80x96,112,80,96,1.2045625,1.15,1.342578,0.06715863606613194,20
