cycles,num_configs,mean_main_duration,std_main_duration,mean_fusion_duration,std_fusion_duration,mean_diff,std_diff,cv_main,cv_fusion,cv_diff
383.0,16,1.2866239375,0.19368898689409908,0.7957756874999999,0.17826013972533467,0.49084825,0.024385146663491702,15.054048137053186,22.400802452931774,4.967960395802919
389.0,16,1.4565904375,0.1280129738492516,0.9610045625,0.08452245134950338,0.495585875,0.07273353668184988,8.788535922902597,8.795218529412901,14.676273144760204
413.0,16,1.5347210625,0.11503654212435786,1.0212666875,0.10358173782781002,0.513454375,0.06172176126010987,7.495599359076227,10.142476896154513,12.020885255892477
509.0,16,1.5940178125,0.16535889846400514,1.0944196874999998,0.15139544210608138,0.49959812500000006,0.043823449602353286,10.373717104494725,13.833398999968319,8.771740206661761
893.0,16,1.856238875,0.26118061096027656,1.2497264375000001,0.2211722531226039,0.6065124375,0.10308165559333289,14.070420271759287,17.697653381250795,16.995802430404883
1535.0,8,1.68911825,0.2552368905584155,1.098404,0.20379033840830488,0.59071425,0.10360800898958399,15.110658508272909,18.553313572083212,17.53944635491424
1559.0,8,1.761093625,0.3135229276883396,1.133582625,0.19533238443515968,0.6275109999999999,0.13231505906952318,17.802740481122324,17.231420112420977,21.085695560639287
1655.0,8,1.884631625,0.29720331286220186,1.2858595,0.22427908062946936,0.598772125,0.10547413728281242,15.769835808746013,17.441958521087987,17.615071390107286
2039.0,8,2.33033475,0.3333026202051866,1.664955125,0.28349059219333017,0.6653796249999999,0.14574152287225825,14.302778611750375,17.026920902347452,21.90351453461748
3575.0,8,3.261986625,0.5621066230559916,2.4444755000000002,0.714409089753403,0.817511125,0.2851488981389184,17.232033348879582,29.225455102880062,34.88012449236314
