kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"elu_(128,64)",0.995996,0.955625,1.164286,0.068989,20,8192
"elu_(8064,)",0.995549,0.96,1.138482,0.067123,20,8064
"elu_(32,256)",0.995495,0.955714,1.170089,0.064683,20,8192
"elu_(112,8,8)",0.995286,0.954286,1.150089,0.066112,20,7168
"elu_(32,192)",0.995147,0.947143,1.185804,0.069053,20,6144
"elu_(16,8,8)",0.994375,0.951429,1.172858,0.078098,20,1024
"elu_(8,8,104)",0.99429,0.957053,1.184285,0.074575,20,6656
"elu_(8,8,120)",0.994138,0.958571,1.161339,0.063403,20,7680
"elu_(8,8,56)",0.994009,0.957232,1.164197,0.068269,20,3584
"elu_(8,56,8)",0.991866,0.958572,1.177143,0.075806,20,3584
"elu_(8,8,96)",0.991768,0.955715,1.135715,0.056339,20,6144
"elu_(8192,)",0.990937,0.958571,1.105714,0.053233,20,8192
"elu_(8,72,8)",0.990848,0.951429,1.224196,0.090898,20,4608
"elu_(8,8,72)",0.989004,0.958571,1.194286,0.063474,20,4608
"elu_(96,64)",0.987063,0.958571,1.119911,0.050704,20,6144
"elu_(7936,)",0.986585,0.96,1.108571,0.049603,20,7936
"elu_(8,16,8)",0.9865,0.957143,1.137233,0.048589,20,1024
"elu_(7552,)",0.98638,0.96,1.168572,0.059323,20,7552
"elu_(80,8,8)",0.985571,0.954285,1.128571,0.054798,20,5120
"elu_(8,8,112)",0.984942,0.964286,1.184286,0.050915,20,7168
"elu_(8,8,64)",0.984652,0.958661,1.154197,0.050042,20,4096
"elu_(8,96,8)",0.984594,0.951429,1.128571,0.059889,20,6144
"elu_(96,8,8)",0.983991,0.954286,1.188571,0.061592,20,6144
"elu_(8,40,8)",0.983067,0.955714,1.165714,0.054574,20,2560
"elu_(128,8,8)",0.982572,0.957143,1.162858,0.061547,20,8192
"elu_(7296,)",0.982218,0.954286,1.154196,0.057253,20,7296
"elu_(160,32)",0.981723,0.954375,1.115714,0.04845,20,5120
"elu_(8,80,8)",0.981647,0.95,1.168572,0.059963,20,5120
"elu_(6912,)",0.981625,0.962857,1.184197,0.052673,20,6912
"elu_(8,104,8)",0.981486,0.952767,1.172857,0.057304,20,6656
"elu_(8,8,80)",0.979835,0.957232,1.151429,0.052017,20,5120
"elu_(7424,)",0.979071,0.961428,1.142768,0.046026,20,7424
"elu_(72,8,8)",0.978719,0.95,1.161339,0.058898,20,4608
"elu_(8,8,128)",0.9785,0.96,1.157143,0.049497,20,8192
"elu_(6400,)",0.978299,0.961518,1.045625,0.027205,20,6400
"elu_(8,112,8)",0.978232,0.954375,1.095625,0.046173,20,7168
"elu_(24,8,8)",0.977567,0.955714,1.108482,0.048234,20,1536
"elu_(8,120,8)",0.977549,0.951339,1.13,0.054881,20,7680
"elu_(64,96)",0.977357,0.958571,1.217143,0.057803,20,6144
"elu_(8,64,8)",0.976728,0.954285,1.09134,0.043607,20,4096
"elu_(224,32)",0.976634,0.954196,1.139911,0.051857,20,7168
"elu_(48,8,8)",0.976067,0.96,1.095714,0.03568,20,3072
"elu_(5376,)",0.975696,0.941428,1.11,0.058281,20,5376
"elu_(8,48,8)",0.97525,0.957143,1.138571,0.043358,20,3072
"elu_(104,8,8)",0.973799,0.952857,1.122947,0.039609,20,6656
"elu_(8,8,40)",0.973549,0.958572,1.092767,0.040293,20,2560
"elu_(6144,)",0.972848,0.944196,1.151339,0.066522,20,6144
"elu_(8,24,8)",0.972844,0.957143,1.178482,0.049572,20,1536
"elu_(8,128,8)",0.972299,0.951429,1.138661,0.045928,20,8192
"elu_(8,8,32)",0.971598,0.957143,1.178571,0.048881,20,2048
"elu_(7680,)",0.971495,0.960089,1.11,0.033017,20,7680
"elu_(64,64)",0.971134,0.958483,1.091518,0.031979,20,4096
"elu_(8,32,8)",0.969907,0.955714,1.108572,0.036476,20,2048
"elu_(4736,)",0.969112,0.941339,1.149911,0.062022,20,4736
"elu_(5248,)",0.969013,0.945714,1.154196,0.054627,20,5248
"elu_(5760,)",0.968853,0.938482,1.135715,0.049175,20,5760
