kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"linear_(2304,)",0.906938,0.905714,0.908572,0.001055,20,2304
"linear_(128,32)",0.905067,0.904196,0.905804,0.000728,20,4096
"linear_(1536,)",0.899518,0.868571,1.018571,0.052125,20,1536
"linear_(1920,)",0.892741,0.87,1.051518,0.049909,20,1920
"linear_(1024,)",0.89079,0.877232,1.002857,0.034872,20,1024
"linear_(640,)",0.890148,0.867143,1.035714,0.053754,20,640
"linear_(1280,)",0.887344,0.871428,1.004196,0.033933,20,1280
"linear_(2048,)",0.887295,0.87,1.027054,0.044766,20,2048
"linear_(896,)",0.880491,0.865804,1.038572,0.039889,20,896
"linear_(768,)",0.875228,0.865714,0.949911,0.022974,20,768
"linear_(1152,)",0.874866,0.86866,0.90991,0.00882,20,1152
"linear_(512,)",0.872442,0.865714,0.984286,0.026342,20,512
"linear_(384,)",0.866728,0.858572,0.977232,0.026186,20,384
"linear_(256,)",0.860446,0.851339,0.867232,0.006246,20,256
"linear_(128,)",0.858344,0.855714,0.859911,0.001297,20,128
