kernel_name,total_cycles,fusion_time,main_time,copy_start_time,copy_done_time
matmul_48x64x48,429.0,1.06,1.602857,0.008571,0.45
matmul_48x64x64,429.0,1.030089,1.571428,0.008571,0.447232
matmul_48x64x80,429.0,1.028572,1.567233,0.008572,0.448482
matmul_48x64x96,429.0,1.08,1.587053,0.008571,0.445714
matmul_48x64x112,429.0,1.041428,1.581429,0.008572,0.447233
matmul_48x64x128,429.0,1.031429,1.572768,0.008572,0.447143
matmul_48x80x32,429.0,1.142857,1.72134,0.008572,0.541428
matmul_48x80x48,429.0,1.06,1.601339,0.008572,0.447143
matmul_48x80x64,429.0,1.041339,1.582857,0.008571,0.448572
matmul_48x80x80,429.0,1.048482,1.685715,0.008572,0.545625
matmul_48x80x96,429.0,1.05,1.607232,0.008571,0.472768
matmul_48x80x112,429.0,1.054286,1.600089,0.008571,0.458661
matmul_48x80x128,429.0,1.045714,1.605625,0.008571,0.468571
matmul_48x96x32,429.0,1.142768,1.625714,0.008571,0.448482
matmul_48x96x48,429.0,1.057143,1.595625,0.008571,0.444286
matmul_48x96x64,429.0,1.135714,1.672946,0.008571,0.451429
matmul_48x96x80,429.0,1.057054,1.595625,0.008571,0.46
matmul_48x96x96,429.0,1.07009,1.632857,0.008572,0.468571
matmul_48x96x112,429.0,1.159911,51.12,0.002768,0.45
matmul_48x96x128,429.0,1.072857,1.622857,0.008572,0.464375
matmul_48x112x32,429.0,1.195625,1.691428,0.008571,0.46
matmul_48x112x48,429.0,1.057232,1.597143,0.008572,0.445715
matmul_48x112x64,429.0,1.037232,1.57,0.008572,0.448572
matmul_48x112x80,429.0,1.202857,1.744196,0.008571,0.458571
matmul_48x112x96,429.0,1.068571,1.630089,0.008571,0.468572
matmul_48x112x112,429.0,1.075803,1.672857,0.008572,0.502858
matmul_48x112x128,429.0,1.074286,1.637233,0.008572,0.47009
matmul_48x128x32,429.0,1.14,1.744375,0.008572,0.568571
matmul_48x128x48,429.0,1.057232,1.597143,0.008572,0.445715
matmul_48x128x64,429.0,1.037232,1.577143,0.008572,0.452767
matmul_48x128x80,429.0,1.054286,1.604286,0.008571,0.465715
matmul_48x128x96,429.0,1.071429,1.625714,0.008571,0.467232
matmul_48x128x112,429.0,1.148572,1.722858,0.008572,0.512857
matmul_48x128x128,429.0,1.098482,1.650089,0.008571,0.471339
matmul_64x64x32,445.0,1.155625,1.637232,0.008571,0.447143
matmul_64x64x48,445.0,1.291518,1.955714,0.008571,0.627054
matmul_64x64x64,445.0,1.092768,1.642946,0.008571,0.458571
matmul_64x64x80,445.0,1.094285,1.867143,0.008571,0.68
matmul_64x64x96,445.0,1.094375,1.64,0.008572,0.451429
matmul_64x64x112,445.0,1.331429,1.862857,0.008572,0.448572
matmul_64x64x128,445.0,1.16866,1.812857,0.008571,0.549911
matmul_64x80x32,445.0,1.27,1.755714,0.008571,0.450089
matmul_64x80x48,445.0,1.164286,1.652857,0.008571,0.452946
matmul_64x80x64,445.0,1.090089,1.639911,0.008572,0.454375
matmul_64x80x80,445.0,1.082857,1.628571,0.008571,0.462946
matmul_64x80x96,445.0,1.077143,1.634196,0.008571,0.462857
matmul_64x80x112,445.0,1.078661,1.635714,0.008571,0.468572
matmul_64x80x128,445.0,1.082857,1.625714,0.008571,0.458572
matmul_64x96x32,445.0,1.244375,1.731339,0.008571,0.448661
matmul_64x96x48,445.0,1.158482,1.645714,0.008572,0.451429
matmul_64x96x64,445.0,1.09009,1.635715,0.008572,0.451428
matmul_64x96x80,445.0,1.072946,1.618571,0.008571,0.458661
matmul_64x96x96,445.0,1.094286,1.644375,0.008572,0.467053
matmul_64x96x112,445.0,1.097054,1.648482,0.008571,0.465714
matmul_64x96x128,445.0,1.088483,1.655625,0.008572,0.474286
matmul_64x112x32,445.0,1.161428,1.645803,0.008571,0.448571
matmul_64x112x48,445.0,1.251428,1.732768,0.008572,0.444285
matmul_64x112x64,445.0,1.092767,1.640089,0.008571,0.455714
matmul_64x112x80,445.0,1.08134,1.631518,0.008571,0.47
matmul_64x112x96,445.0,1.080089,1.641518,0.008571,0.469911
matmul_64x112x112,445.0,1.101428,1.691428,0.008571,0.502946
matmul_64x112x128,445.0,1.16,1.78,0.008572,0.551428
matmul_64x128x32,445.0,1.237142,1.772857,0.008572,0.49991
matmul_64x128x48,445.0,1.165714,1.65,0.008571,0.448571
matmul_64x128x64,445.0,1.094375,1.642768,0.008572,0.452857
matmul_64x128x80,445.0,1.18,1.714196,0.008571,0.465804
matmul_64x128x96,445.0,1.087232,1.655714,0.008571,0.474286
matmul_64x128x112,445.0,1.105804,1.668661,0.008572,0.471429
matmul_64x128x128,445.0,1.274285,1.83866,0.008571,0.471428
matmul_80x80x32,461.0,1.184375,1.67,0.008572,0.448571
matmul_80x80x48,461.0,1.187232,1.678571,0.008571,0.454286
matmul_80x80x64,461.0,1.26,1.804286,0.008572,0.508482
matmul_80x80x80,461.0,1.137053,1.692768,0.008571,0.462857
matmul_80x80x96,461.0,1.124196,1.681518,0.008572,0.465625
matmul_80x80x112,461.0,1.128572,1.687142,0.008571,0.465714
matmul_80x80x128,461.0,1.237232,1.8,0.008571,0.468571
matmul_80x96x32,461.0,1.185714,1.674286,0.008572,0.452857
matmul_80x96x48,461.0,1.19,1.677143,0.008572,0.451429
matmul_80x96x64,461.0,1.27,1.894375,0.008571,0.588571
matmul_80x96x80,461.0,1.132768,1.690089,0.008571,0.465625
matmul_80x96x96,461.0,1.111428,1.659911,0.008571,0.47
matmul_80x96x112,461.0,1.111429,1.66,0.008572,0.464286
matmul_80x96x128,461.0,1.351429,1.86,0.008571,0.471518
matmul_80x112x32,461.0,1.228482,26.952767,0.002767,0.455714
matmul_80x112x48,461.0,1.188571,1.675714,0.008571,0.451428
matmul_80x112x64,461.0,1.337053,1.824286,0.008572,0.452857
matmul_80x112x80,461.0,1.13,1.685715,0.008572,0.461428
matmul_80x112x96,461.0,1.10991,1.828571,0.008571,0.64
matmul_80x112x112,461.0,1.125714,1.702857,0.008572,0.495625
matmul_80x112x128,461.0,1.119911,1.685714,0.008572,0.474286
matmul_80x128x32,461.0,1.181429,1.658661,0.008572,0.44134
matmul_80x128x48,461.0,1.188572,1.674286,0.008571,0.448661
matmul_80x128x64,461.0,1.214286,1.810089,0.008571,0.56
matmul_80x128x80,461.0,1.131428,1.688571,0.008571,0.462946
matmul_80x128x96,461.0,1.112858,1.662857,0.008571,0.465714
matmul_80x128x112,461.0,1.125715,1.671518,0.008571,0.464375
matmul_80x128x128,461.0,1.132947,1.701429,0.008571,0.474286
matmul_96x96x32,477.0,1.205625,1.682857,0.008572,0.442767
matmul_96x96x48,477.0,1.201429,1.688572,0.008572,0.451429
matmul_96x96x64,477.0,1.212857,1.697143,0.008572,0.448571
matmul_96x96x80,477.0,1.24,1.738571,0.008571,0.462857
matmul_96x96x96,477.0,1.41,1.977233,0.008572,0.474286
matmul_96x96x112,477.0,1.38,1.944375,0.008571,0.471429
matmul_96x96x128,477.0,1.157142,1.720089,0.008571,0.470089
matmul_96x112x32,477.0,1.201429,1.685715,0.008572,0.447143
matmul_96x112x48,477.0,1.208661,1.698572,0.008572,0.452768
matmul_96x112x64,477.0,1.287143,1.778661,0.008572,0.455625
matmul_96x112x80,477.0,1.24,1.752947,0.008572,0.477143
matmul_96x112x96,477.0,1.154375,1.715714,0.008571,0.467054
matmul_96x112x112,477.0,1.14,1.697054,0.008572,0.47
matmul_96x112x128,477.0,1.142947,1.691428,0.008571,0.469911
matmul_96x128x32,477.0,1.198482,1.671518,0.008571,0.438571
matmul_96x128x48,477.0,1.208661,1.697054,0.008572,0.45
matmul_96x128x64,477.0,1.211518,1.69991,0.008571,0.45
matmul_96x128x80,477.0,1.239911,1.731429,0.008571,0.457054
matmul_96x128x96,477.0,1.241518,1.932857,0.008571,0.597143
matmul_96x128x112,477.0,1.145804,1.834197,0.008572,0.61
matmul_96x128x128,477.0,1.344375,1.934197,0.008572,0.494375
matmul_112x112x32,493.0,1.224286,1.707232,0.008571,0.447054
matmul_112x112x48,493.0,1.3,1.96866,0.008571,0.632946
matmul_112x112x64,493.0,1.232857,1.717143,0.008572,0.447142
matmul_112x112x80,493.0,1.264286,1.765714,0.008571,0.464286
matmul_112x112x96,493.0,1.302857,1.811518,0.008571,0.472946
matmul_112x112x112,493.0,1.201428,1.764197,0.008572,0.46866
matmul_112x112x128,493.0,1.198661,1.762768,0.008571,0.468661
matmul_112x128x32,493.0,1.225714,1.701429,0.008571,0.44
matmul_112x128x48,493.0,1.25866,1.745625,0.008572,0.44866
matmul_112x128x64,493.0,1.287143,1.771518,0.008571,0.448571
matmul_112x128x80,493.0,1.27,1.767143,0.008572,0.461518
matmul_112x128x96,493.0,1.301339,1.800089,0.008572,0.464286
matmul_112x128x112,493.0,1.2,1.768482,0.008572,0.474286
matmul_112x128x128,493.0,1.182857,1.967143,0.008572,0.707054
matmul_128x128x32,509.0,1.248483,1.732857,0.008572,0.45
matmul_128x128x48,509.0,1.361428,1.92,0.008572,0.521429
matmul_128x128x64,509.0,1.27,1.755804,0.008572,0.449911
matmul_128x128x80,509.0,1.302858,1.804285,0.008571,0.465714
matmul_128x128x96,509.0,1.554375,2.059911,0.008571,0.467143
matmul_128x128x112,509.0,1.358571,1.864375,0.008572,0.46991
matmul_128x128x128,509.0,1.237143,2.031429,0.008571,0.701429
