kernel_name,dur(us)
matmul_linear_173,1.6080089000000002
matmul_linear_174,1.6101610000000002
matmul_linear_175,1.6551338999999998
matmul_linear_176,1.5907231
matmul_linear_177,1.595134
matmul_linear_178,1.6998571999999998
matmul_linear_179,1.6450090000000004
matmul_linear_180,1.6220354999999997
matmul_linear_181,1.6112767000000001
matmul_linear_182,1.7310269000000003
matmul_linear_183,1.6557233
matmul_linear_184,1.6398479
matmul_linear_185,1.6427143999999998
matmul_linear_186,1.6444108
matmul_linear_187,1.6282857
matmul_linear_188,1.6595627999999998
matmul_linear_189,1.6676073000000002
matmul_linear_190,1.6747143000000002
matmul_linear_191,1.6675712
matmul_linear_192,1.7474020000000003
matmul_linear_193,1.7341517
matmul_linear_194,1.7261247999999998
matmul_linear_195,1.7041515
matmul_linear_196,1.7542858
matmul_linear_197,1.6991340000000001
matmul_linear_198,1.6868482
matmul_linear_199,1.6907231
matmul_linear_200,1.6305804
matmul_linear_201,1.6323037
matmul_linear_202,1.7264104999999996
matmul_linear_203,1.7202769
matmul_linear_204,1.7269999999999999
matmul_linear_205,1.7523123999999999
matmul_linear_206,1.7318570999999998
matmul_linear_207,1.6771427999999997
matmul_linear_208,1.7172858999999998
matmul_linear_209,1.6723124999999999
matmul_linear_210,1.7417143
matmul_linear_211,1.7191429
matmul_linear_212,1.8134017
matmul_linear_213,1.7240177000000003
matmul_linear_214,1.6932855
matmul_linear_215,1.721143
matmul_linear_216,1.7068485000000002
matmul_linear_217,1.7005893
matmul_linear_218,1.7978750000000001
matmul_linear_219,1.7010090000000002
matmul_linear_220,1.6972946
matmul_linear_221,1.7341159000000002
matmul_linear_222,1.7453213
matmul_linear_223,1.7785894000000002
matmul_linear_224,1.7164552
matmul_linear_225,1.7158660000000001
matmul_linear_226,1.7657232999999999
matmul_linear_227,1.7614375
matmul_linear_228,1.7979999999999996
matmul_linear_229,1.7734466000000002
matmul_linear_230,1.7235356
matmul_linear_231,1.7608751000000002
matmul_linear_232,1.7939909000000003
matmul_linear_233,1.8288484
matmul_linear_234,1.7614019000000003
matmul_linear_235,1.7724104999999999
matmul_linear_236,1.7714196999999998
matmul_linear_237,1.7901429999999998
matmul_linear_238,1.8096071999999999
matmul_linear_239,1.7675536
matmul_linear_240,1.785884
matmul_linear_241,1.7877231999999998
matmul_linear_242,1.8749913
matmul_linear_243,1.8264198
matmul_linear_244,1.8047051
matmul_linear_245,1.7995535999999999
matmul_linear_246,1.8114197
matmul_linear_247,1.7992949
matmul_linear_248,1.8871429
matmul_linear_249,1.7638842000000001
matmul_linear_250,1.8424640999999997
matmul_linear_251,1.8501339
matmul_linear_252,1.8228303000000001
matmul_linear_253,1.8210000999999998
matmul_linear_254,1.8748662
matmul_linear_255,1.8128571
matmul_linear_256,1.8118124999999998
