# Linear Regression Analysis Results
# Model: avg_duration_us = 0.000020 * dim_0 + 0.892433
# R-squared: 0.8463
# p-value: 2.83e-105
# RMSE: 0.019877
# Sample size: 256
#
dim_0,avg_duration_us_actual,avg_duration_us_predicted,residuals,abs_residuals
7488,1.081634,1.040104630866617,0.0415293691333829,0.0415293691333829
6944,1.081156,1.029376362852269,0.05177963714773104,0.05177963714773104
7648,1.070353,1.0432600038120137,0.02709299618798644,0.02709299618798644
6656,1.069554,1.0236966915505552,0.04585730844944469,0.04585730844944469
6496,1.065415,1.0205413186051586,0.04487368139484138,0.04487368139484138
7040,1.064089,1.031269586619507,0.0328194133804931,0.0328194133804931
6848,1.058022,1.027483139085031,0.030538860914969046,0.030538860914969046
6400,1.05721,1.0186480948379206,0.03856190516207936,0.03856190516207936
6464,1.055853,1.0199102440160792,0.035942755983920716,0.035942755983920716
7328,1.055054,1.0369492579212207,0.018104742078779212,0.018104742078779212
7840,1.053862,1.0470464513464897,0.006815548653510417,0.006815548653510417
7136,1.05079,1.0331628103867447,0.017627189613255156,0.017627189613255156
6816,1.04858,1.0268520644959518,0.02172793550404828,0.02172793550404828
6208,1.04729,1.0148616473034449,0.032428352696555196,0.032428352696555196
6304,1.045134,1.0167548710706829,0.028379128929317154,0.028379128929317154
7616,1.043496,1.0426289292229345,0.0008670707770654928,0.0008670707770654928
6912,1.043442,1.0287452882631896,0.01469671173681042,0.01469671173681042
6528,1.04267,1.021172393194238,0.02149760680576196,0.02149760680576196
6880,1.041259,1.0281142136741104,0.013144786325889557,0.013144786325889557
7584,1.040982,1.041997854633855,-0.0010158546338550067,0.0010158546338550067
7104,1.040643,1.0325317357976656,0.008111264202334434,0.008111264202334434
7008,1.040625,1.0306385120304276,0.009986487969572355,0.009986487969572355
7360,1.040464,1.0375803325103,0.002883667489700148,0.002883667489700148
7936,1.03621,1.0489396751137274,-0.012729675113727357,0.012729675113727357
7072,1.036058,1.0319006612085861,0.004157338791413778,0.004157338791413778
6560,1.036022,1.0218034677833172,0.014218532216682789,0.014218532216682789
5248,1.035728,0.9959294096310656,0.039798590368934406,0.039798590368934406
6592,1.033862,1.0224345423723966,0.011427457627603443,0.011427457627603443
8160,1.031933,1.0533571972372826,-0.021424197237282616,0.021424197237282616
8128,1.031701,1.0527261226482034,-0.021025122648203443,0.021025122648203443
8192,1.03113,1.053988271826362,-0.02285827182636191,0.02285827182636191
7968,1.030366,1.0495707497028068,-0.019204749702806945,0.019204749702806945
7680,1.030081,1.043891078401093,-0.013810078401093051,0.013810078401093051
8096,1.029759,1.052095048059124,-0.022336048059123925,0.022336048059123925
7776,1.029549,1.045784302168331,-0.016235302168331023,0.016235302168331023
4288,1.028643,0.9769971719586863,0.05164582804131368,0.05164582804131368
6688,1.027567,1.0243277661396344,0.003239233860365509,0.003239233860365509
7200,1.027067,1.0344249595649033,-0.007357959564903371,0.007357959564903371
7872,1.026942,1.0476775259355688,-0.02073552593556882,0.02073552593556882
4384,1.026433,0.9788903957259243,0.04754260427407564,0.04754260427407564
6976,1.026366,1.0300074374413484,-0.003641437441348483,0.003641437441348483
7456,1.025643,1.039473556277538,-0.01383055627753782,0.01383055627753782
7264,1.02529,1.035687108743062,-0.010397108743061878,0.010397108743061878
5632,1.024134,1.0035023047000173,0.020631695299982766,0.020631695299982766
6752,1.023643,1.0255899153177932,-0.0019469153177931187,0.0019469153177931187
6624,1.023576,1.0230656169614758,0.0005103830385242425,0.0005103830385242425
5920,1.02321,1.009181976001731,0.014028023998268857,0.014028023998268857
6784,1.023071,1.0262209899068724,-0.003149989906872319,0.003149989906872319
6720,1.023054,1.0249588407287138,-0.0019048407287138858,0.0019048407287138858
7296,1.02304,1.0363181833321413,-0.013278183332141369,0.013278183332141369
6272,1.022723,1.0161237964816034,0.006599203518396601,0.006599203518396601
7232,1.02171,1.0350560341539827,-0.013346034153982833,0.013346034153982833
8000,1.021509,1.0502018242918862,-0.028692824291886243,0.028692824291886243
5856,1.021268,1.0079198268235725,0.013348173176427558,0.013348173176427558
7808,1.021223,1.0464153767574103,-0.025192376757410262,0.025192376757410262
6432,1.021205,1.019279169427,0.001925830572999887,0.001925830572999887
8064,1.02092,1.0514639734700448,-0.030543973470044783,0.030543973470044783
6144,1.01958,1.0135994981252863,0.005980501874713662,0.005980501874713662
7744,1.019415,1.0451532275792517,-0.025738227579251705,0.025738227579251705
7904,1.018634,1.0483086005246482,-0.02967460052464821,0.02967460052464821
7392,1.018406,1.0382114070993793,-0.01980540709937939,0.01980540709937939
4864,1.017549,0.9883565145621138,0.029192485437886218,0.029192485437886218
7424,1.017098,1.0388424816884585,-0.02174448168845844,0.02174448168845844
7712,1.01679,1.0445221529901723,-0.027732152990172176,0.027732152990172176
5696,1.016478,1.004764453878176,0.01171354612182407,0.01171354612182407
5984,1.016366,1.0104441251798897,0.005921874820110418,0.005921874820110418
6336,1.015022,1.017385945659762,-0.0023639456597619457,0.0023639456597619457
8032,1.014969,1.0508328988809654,-0.03586389888096542,0.03586389888096542
4736,1.014067,0.9858322162057966,0.02823478379420341,0.02823478379420341
4992,1.013719,0.9908808129184311,0.022838187081568928,0.022838187081568928
5600,1.013697,1.002871230110938,0.010825769889062142,0.010825769889062142
6240,1.012839,1.015492721892524,-0.002653721892523997,0.002653721892523997
7552,1.012772,1.041366780044776,-0.02859478004477589,0.02859478004477589
6368,1.009875,1.0180170202488414,-0.008142020248841364,0.008142020248841364
7520,1.00979,1.0407357054556965,-0.030945705455696526,0.030945705455696526
6176,1.009697,1.0142305727143655,-0.004533572714365386,0.004533572714365386
4896,1.009433,0.9889875891511932,0.0204454108488068,0.0204454108488068
6112,1.00942,1.0129684235362069,-0.0035484235362068794,0.0035484235362068794
4256,1.00771,0.976366097369607,0.031343902630393106,0.031343902630393106
4576,1.007495,0.9826768432604001,0.024818156739599972,0.024818156739599972
4352,1.005513,0.9782593211368449,0.027253678863155217,0.027253678863155217
5824,1.004706,1.007288752234493,-0.002582752234493002,0.002582752234493002
5952,1.003924,1.0098130505908103,-0.005889050590810241,0.005889050590810241
4192,1.003862,0.9751039481914484,0.02875805180855162,0.02875805180855162
5056,1.003009,0.9921429620965897,0.010866037903410342,0.010866037903410342
5408,1.002929,0.9990847825764622,0.003844217423537799,0.003844217423537799
7168,1.002496,1.0337938849758241,-0.031297884975824086,0.031297884975824086
6048,1.002433,1.0117062743580483,-0.009273274358048367,0.009273274358048367
5664,1.002156,1.0041333792890965,-0.0019773792890964703,0.0019773792890964703
5312,1.001339,0.9971915588092242,0.0041474411907758135,0.0041474411907758135
5504,1.000553,1.0009780063437002,-0.00042500634370012946,0.00042500634370012946
3776,0.997344,0.9668999785334174,0.03044402146658265,0.03044402146658265
4512,0.99729,0.9814146940822415,0.015875305917758542,0.015875305917758542
4448,0.996786,0.9801525449040829,0.01663345509591707,0.01663345509591707
4800,0.993647,0.9870943653839552,0.006552634616044717,0.006552634616044717
4320,0.993139,0.9776282465477656,0.015510753452234405,0.015510753452234405
4416,0.992482,0.9795214703150036,0.012960529684996391,0.012960529684996391
4224,0.992282,0.9757350227805277,0.016546977219472292,0.016546977219472292
4480,0.991281,0.9807836194931622,0.010497380506837795,0.010497380506837795
5792,0.991268,1.006657677645414,-0.01538967764541388,0.01538967764541388
5344,0.99075,0.9978226333983035,-0.007072633398303441,0.007072633398303441
5280,0.990031,0.9965604842201449,-0.006529484220144877,0.006529484220144877
5536,0.989812,1.0016090809327793,-0.011797080932779314,0.011797080932779314
5184,0.989773,0.994667260452907,-0.004894260452906973,0.004894260452906973
4640,0.988433,0.9839389924385586,0.00449400756144136,0.00449400756144136
4160,0.988063,0.9744728736023691,0.013590126397630908,0.013590126397630908
5152,0.987563,0.9940361858638277,-0.006473185863827724,0.006473185863827724
5568,0.987505,1.0022401555218587,-0.014735155521858778,0.014735155521858778
5088,0.986991,0.992774036685669,-0.005783036685669041,0.005783036685669041
2880,0.986581,0.9492298900391967,0.037351109960803375,0.037351109960803375
5728,0.98625,1.005395528467255,-0.019145528467255146,0.019145528467255146
2080,0.985728,0.933453025312214,0.05227497468778608,0.05227497468778608
5024,0.984268,0.9915118875075104,-0.0072438875075103715,0.0072438875075103715
5440,0.98416,0.9997158571655415,-0.01555585716554142,0.01555585716554142
4544,0.983946,0.9820457686713208,0.001900231328679225,0.001900231328679225
3968,0.98321,0.9706864260678932,0.01252357393210679,0.01252357393210679
2176,0.983139,0.935346249079452,0.04779275092054802,0.04779275092054802
3648,0.982799,0.9643756801771002,0.018423319822899797,0.018423319822899797
4832,0.982763,0.9877254399730345,-0.0049624399730344715,0.0049624399730344715
5120,0.982723,0.9934051112747484,-0.010682111274748385,0.010682111274748385
4704,0.982268,0.9852011416167173,-0.0029331416167173163,0.0029331416167173163
5888,0.980763,1.0085509014126517,-0.02778790141265164,0.02778790141265164
4960,0.980705,0.9902497383293518,-0.009544738329351765,0.009544738329351765
5472,0.98034,1.0003469317546207,-0.02000693175462076,0.02000693175462076
2368,0.9795,0.9391326966139277,0.040367303386072306,0.040367303386072306
2624,0.97921,0.9441812933265623,0.035028706673437715,0.035028706673437715
2912,0.978063,0.9498609646282761,0.028202035371723944,0.028202035371723944
3808,0.977937,0.9675310531224967,0.010405946877503292,0.010405946877503292
3872,0.977357,0.9687932023006554,0.008563797699344677,0.008563797699344677
