kernel_name        ,total_cycles ,main_avg  ,main_min ,main_max   ,main_stddev ,fusion_avg ,fusion_min ,fusion_max ,fusion_stddev ,copy-start_avg ,copy-start_min ,copy-start_max ,copy-start_stddev ,copy-done_avg ,copy-done_min ,copy-done_max ,copy-done_stddev
matmul_128x64x32   ,       445.0 , 1.324205 ,1.274286 ,  1.648572 ,   0.101558 ,  1.212799 ,  1.161429 ,  1.402947 ,     0.069941 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.07467  ,     0.054375 ,     0.45     ,        0.086109
matmul_128x64x48   ,       445.0 , 1.304737 ,1.268572 ,  1.638571 ,   0.089529 ,  1.193786 ,  1.157143 ,  1.338572 ,     0.047326 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074964 ,     0.054375 ,     0.445714 ,        0.085057
matmul_128x64x64   ,       445.0 , 1.319371 ,1.275714 ,  1.644375 ,   0.089812 ,  1.208286 ,  1.16     ,  1.387054 ,     0.05155  ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074866 ,     0.054375 ,     0.448571 ,        0.085736
matmul_128x64x80   ,       445.0 , 1.284272 ,1.212857 ,  1.62     ,   0.109467 ,  1.141728 ,  1.071428 ,  1.325714 ,     0.080363 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075437 ,     0.054375 ,     0.461339 ,        0.088534
matmul_128x64x96   ,       445.0 , 1.267862 ,1.231429 ,  1.874375 ,   0.139501 ,  1.120232 ,  1.092857 ,  1.187143 ,     0.016929 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.087286 ,     0.054375 ,     0.697143 ,        0.139912
matmul_128x64x112  ,       445.0 , 1.306223 ,1.251428 ,  1.708571 ,   0.110271 ,  1.156353 ,  1.102857 ,  1.307143 ,     0.059232 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.07821  ,     0.054375 ,     0.512857 ,        0.099716
matmul_128x64x128  ,       445.0 , 1.301063 ,1.254285 ,  1.75     ,   0.114699 ,  1.158482 ,  1.115714 ,  1.317143 ,     0.050543 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.080005 ,     0.054375 ,     0.55009  ,        0.107847
matmul_128x80x32   ,       461.0 , 1.378558 ,1.297142 ,  1.742768 ,   0.121406 ,  1.263531 ,  1.187232 ,  1.441428 ,     0.089557 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.078402 ,     0.054375 ,     0.517233 ,        0.100676
matmul_128x80x48   ,       461.0 , 1.341728 ,1.301429 ,  1.668661 ,   0.094992 ,  1.231049 ,  1.187053 ,  1.417143 ,     0.059072 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074991 ,     0.054375 ,     0.447143 ,        0.085379
matmul_128x80x64   ,       461.0 , 1.34621  ,1.300089 ,  1.712768 ,   0.102295 ,  1.233415 ,  1.191339 ,  1.417232 ,     0.058951 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.07679  ,     0.054375 ,     0.485715 ,        0.093816
