Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(2560, 2048), (2048, 2816)]",1023360,matmul_linear_59,248.98584820000002,410911.31144529034
matmul,linear,"[(2688, 2048), (2048, 2816)]",1074528,matmul_linear_60,255.31686599999998,420760.5631247252
matmul,linear,"[(2816, 2048), (2048, 2816)]",1125696,matmul_linear_61,270.2462856,416444.4855239113
matmul,linear,"[(2944, 2048), (2048, 2816)]",1170752,matmul_linear_62,280.3487143,417505.6248102437
matmul,linear,"[(3072, 2048), (2048, 2816)]",1215808,matmul_linear_63,312.0691607,389495.6900300017
matmul,linear,"[(2048, 2048), (2048, 2944)]",851456,matmul_linear_64,244.79142859999996,347729.17231604416
matmul,linear,"[(2176, 2048), (2048, 2944)]",904672,matmul_linear_65,253.5967051,356636.4961004771
matmul,linear,"[(2304, 2048), (2048, 2944)]",957888,matmul_linear_66,275.6194467,347440.06347114546
matmul,linear,"[(2432, 2048), (2048, 2944)]",1011104,matmul_linear_67,285.4207144,354150.39213621983
matmul,linear,"[(2560, 2048), (2048, 2944)]",1064320,matmul_linear_68,294.2597233999999,361594.080216756
matmul,linear,"[(2688, 2048), (2048, 2944)]",1117536,matmul_linear_69,258.65497330000005,431956.64509061264
matmul,linear,"[(2816, 2048), (2048, 2944)]",1170752,matmul_linear_70,268.8138216,435425.2244961202
matmul,linear,"[(2944, 2048), (2048, 2944)]",1223968,matmul_linear_71,280.69358040000003,435951.29773748113
matmul,linear,"[(3072, 2048), (2048, 2944)]",1271072,matmul_linear_72,312.24473219999993,406975.56250647944
matmul,linear,"[(2048, 2048), (2048, 3072)]",884224,matmul_linear_73,246.4321428,358710.336165287
matmul,linear,"[(2176, 2048), (2048, 3072)]",939488,matmul_linear_74,255.64813410000002,367392.6098355591
matmul,linear,"[(2304, 2048), (2048, 3072)]",994752,matmul_linear_75,274.9645892,361674.58446347463
matmul,linear,"[(2432, 2048), (2048, 3072)]",1050016,matmul_linear_76,284.77413409999997,368618.8807784352
matmul,linear,"[(2560, 2048), (2048, 3072)]",1105280,matmul_linear_77,293.86255360000007,376021.41678469366
matmul,linear,"[(2688, 2048), (2048, 3072)]",1160544,matmul_linear_78,259.159857,447710.0942924969
matmul,linear,"[(2816, 2048), (2048, 3072)]",1215808,matmul_linear_79,269.14528579999995,451629.2570762167
matmul,linear,"[(2944, 2048), (2048, 3072)]",1271072,matmul_linear_80,277.31899089999996,458242.9342054484
matmul,linear,"[(3072, 2048), (2048, 3072)]",1326336,matmul_linear_81,312.4861877,424346.2802539416
matmul,linear,"[(2048, 2176), (2176, 2048)]",660960,matmul_linear_82,202.20484850000003,326776.4349139729
matmul,linear,"[(2176, 2176), (2176, 2048)]",695776,matmul_linear_83,212.65983930000002,327077.9017092486
matmul,linear,"[(2304, 2176), (2176, 2048)]",730592,matmul_linear_84,238.44103560000002,306303.63482803124
matmul,linear,"[(2432, 2176), (2176, 2048)]",765408,matmul_linear_85,250.113009,305924.86574378866
matmul,linear,"[(2560, 2176), (2176, 2048)]",800224,matmul_linear_86,259.6208572,308127.932312674
matmul,linear,"[(2688, 2176), (2176, 2048)]",835040,matmul_linear_87,269.84271440000003,309354.34337804007
matmul,linear,"[(2816, 2176), (2176, 2048)]",869856,matmul_linear_88,231.7655804,375217.1624961443
matmul,linear,"[(2944, 2176), (2176, 2048)]",904672,matmul_linear_89,290.860009,310933.4772766922
matmul,linear,"[(3072, 2176), (2176, 2048)]",939488,matmul_linear_90,301.1885625,311826.8514719911
matmul,linear,"[(2048, 2176), (2176, 2176)]",695776,matmul_linear_91,207.89969659999997,334569.07906973833
matmul,linear,"[(2176, 2176), (2176, 2176)]",739262,matmul_linear_92,207.83729490000002,355592.65870001464
matmul,linear,"[(2304, 2176), (2176, 2176)]",776254,matmul_linear_93,219.6285803,353339.42893938563
matmul,linear,"[(2432, 2176), (2176, 2176)]",813246,matmul_linear_94,247.0645981,329063.3063798305
matmul,linear,"[(2560, 2176), (2176, 2176)]",850238,matmul_linear_95,255.5592859,332596.9697092897
matmul,linear,"[(2688, 2176), (2176, 2176)]",887230,matmul_linear_96,264.745143,335026.07254894945
matmul,linear,"[(2816, 2176), (2176, 2176)]",924222,matmul_linear_97,273.3705804,337983.9293854021
matmul,linear,"[(2944, 2176), (2176, 2176)]",961214,matmul_linear_98,282.55999110000005,340080.5033536469
matmul,linear,"[(3072, 2176), (2176, 2176)]",998206,matmul_linear_99,291.12914279999995,342773.95291296823
matmul,linear,"[(2048, 2176), (2176, 2304)]",730592,matmul_linear_100,208.17573220000003,350849.64829911134
matmul,linear,"[(2176, 2176), (2176, 2304)]",776254,matmul_linear_101,215.102884,360775.6821689104
matmul,linear,"[(2304, 2176), (2176, 2304)]",821916,matmul_linear_102,219.76940169999997,373890.1886441729
matmul,linear,"[(2432, 2176), (2176, 2304)]",861084,matmul_linear_103,247.15515190000002,348298.1593668734
matmul,linear,"[(2560, 2176), (2176, 2304)]",900252,matmul_linear_104,255.7594552,351891.67878114874
matmul,linear,"[(2688, 2176), (2176, 2304)]",939420,matmul_linear_105,264.8397142,354612.66189729184
matmul,linear,"[(2816, 2176), (2176, 2304)]",978588,matmul_linear_106,273.4595802,357754.7145008745
matmul,linear,"[(2944, 2176), (2176, 2304)]",1017756,matmul_linear_107,282.7554374,359842.1497809188
matmul,linear,"[(3072, 2176), (2176, 2304)]",1056924,matmul_linear_108,291.1968392,362858.61002601153
matmul,linear,"[(2048, 2176), (2176, 2432)]",765408,matmul_linear_109,216.1934197,353938.5276582958
matmul,linear,"[(2176, 2176), (2176, 2432)]",813246,matmul_linear_110,223.8898303,363134.89946385473
matmul,linear,"[(2304, 2176), (2176, 2432)]",861084,matmul_linear_111,254.6450092,338050.7466826882
matmul,linear,"[(2432, 2176), (2176, 2432)]",908922,matmul_linear_112,216.64369640000004,419446.94048508664
matmul,linear,"[(2560, 2176), (2176, 2432)]",950266,matmul_linear_113,225.48724109999998,421327.8357233402
matmul,linear,"[(2688, 2176), (2176, 2432)]",991610,matmul_linear_114,234.72798209999996,422350.6985185726
