Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(1536, 1024), (1024, 1792)]",208704,matmul_linear_59,60.1588392,346821.58754286595
matmul,linear,"[(1664, 1024), (1024, 1792)]",226096,matmul_linear_60,63.05226789999999,358485.0398887873
matmul,linear,"[(1792, 1024), (1024, 1792)]",243488,matmul_linear_61,125.17883040000001,194412.12255454974
matmul,linear,"[(1920, 1024), (1024, 1792)]",257824,matmul_linear_62,71.09040180000001,362570.61863757815
matmul,linear,"[(2048, 1024), (1024, 1792)]",272160,matmul_linear_63,74.10685729999999,367153.46333098394
matmul,linear,"[(1024, 1024), (1024, 1920)]",147328,matmul_linear_64,54.8775802,268366.64787890925
matmul,linear,"[(1152, 1024), (1024, 1920)]",165744,matmul_linear_65,57.7587141,286859.2971080359
matmul,linear,"[(1280, 1024), (1024, 1920)]",184160,matmul_linear_66,60.866303800000004,302464.7829793141
matmul,linear,"[(1408, 1024), (1024, 1920)]",202576,matmul_linear_67,63.74485720000001,317691.9112194669
matmul,linear,"[(1536, 1024), (1024, 1920)]",220992,matmul_linear_68,71.5301608,308849.3963503015
matmul,linear,"[(1664, 1024), (1024, 1920)]",239408,matmul_linear_69,86.93417860000001,275289.9603762978
matmul,linear,"[(1792, 1024), (1024, 1920)]",257824,matmul_linear_70,89.39486609999999,288310.29831801495
matmul,linear,"[(1920, 1024), (1024, 1920)]",276240,matmul_linear_71,101.5275715,271983.7265372786
matmul,linear,"[(2048, 1024), (1024, 1920)]",291600,matmul_linear_72,107.01729459999999,272379.3231691357
matmul,linear,"[(1024, 1024), (1024, 2048)]",155520,matmul_linear_73,54.9461338,282940.842447772
matmul,linear,"[(1152, 1024), (1024, 2048)]",174960,matmul_linear_74,57.931008799999994,301914.41960734513
matmul,linear,"[(1280, 1024), (1024, 2048)]",194400,matmul_linear_75,60.856321300000005,319340.932095907
matmul,linear,"[(1408, 1024), (1024, 2048)]",213840,matmul_linear_76,63.917410700000005,334456.7313476921
matmul,linear,"[(1536, 1024), (1024, 2048)]",233280,matmul_linear_77,66.9057055,348569.8156108675
matmul,linear,"[(1664, 1024), (1024, 2048)]",252720,matmul_linear_78,69.9870091,360995.58509480587
matmul,linear,"[(1792, 1024), (1024, 2048)]",272160,matmul_linear_79,73.7604106,368878.4232301982
matmul,linear,"[(1920, 1024), (1024, 2048)]",291600,matmul_linear_80,89.869857,324369.1932691069
matmul,linear,"[(2048, 1024), (1024, 2048)]",311040,matmul_linear_81,107.326018,289708.5718599939
matmul,linear,"[(1024, 1152), (1152, 1024)]",101232,matmul_linear_82,35.2058483,287443.1352693751
matmul,linear,"[(1152, 1152), (1152, 1024)]",110448,matmul_linear_83,38.3031431,288252.315400456
matmul,linear,"[(1280, 1152), (1152, 1024)]",119664,matmul_linear_84,41.380419499999995,289080.2486439269
matmul,linear,"[(1408, 1152), (1152, 1024)]",128880,matmul_linear_85,44.4073036,290122.52997139865
matmul,linear,"[(1536, 1152), (1152, 1024)]",138096,matmul_linear_86,47.4222768,291104.913214964
matmul,linear,"[(1664, 1152), (1152, 1024)]",147312,matmul_linear_87,50.5675713,291217.13509839855
matmul,linear,"[(1792, 1152), (1152, 1024)]",156528,matmul_linear_88,53.576045,292060.42356243357
matmul,linear,"[(1920, 1152), (1152, 1024)]",165744,matmul_linear_89,56.712732,292151.8350905754
matmul,linear,"[(2048, 1152), (1152, 1024)]",174960,matmul_linear_90,59.770723,292618.5605568131
matmul,linear,"[(1024, 1152), (1152, 1152)]",110448,matmul_linear_91,34.7707143,317546.62367031095
matmul,linear,"[(1152, 1152), (1152, 1152)]",124254,matmul_linear_92,65.8968215,188458.41172855356
