kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev
matmul_1536x1536x2048,1536,1536,2048,94.2892947,94.122946,94.4,0.09039322428644907
matmul_1536x1536x2560,1536,1536,2560,101.1057145,101.002858,101.304286,0.10637669170792234
matmul_1536x1536x3072,1536,1536,3072,119.7784286,119.657143,120.11,0.1663312186333157
matmul_1536x1536x3584,1536,1536,3584,135.3115625,135.164375,135.678482,0.17020792092956843
matmul_1536x1536x4096,1536,1536,4096,153.5414107,153.39,153.731429,0.1345790935060104
matmul_1536x2048x1024,1536,2048,1024,66.8898395,66.708571,67.042858,0.13659033871174087
matmul_1536x2048x1536,1536,2048,1536,92.6104466,92.425715,92.747233,0.13159738803318097
matmul_1536x2048x2048,1536,2048,2048,140.1850179,140.034286,140.275714,0.06742664880437445
matmul_1536x2048x2560,1536,2048,2560,149.2308482,149.034196,149.427232,0.14072854327929174
matmul_1536x2048x3072,1536,2048,3072,140.25241979999998,139.978571,140.391429,0.144594957297044
matmul_1536x2048x3584,1536,2048,3584,159.9322856,159.755803,160.051429,0.08110546930345705
matmul_1536x2048x4096,1536,2048,4096,229.267009,229.128572,229.478571,0.13475683812622102
matmul_1536x2560x1024,1536,2560,1024,80.1764196,80.018482,80.38,0.1613780215051982
matmul_1536x2560x1536,1536,2560,1536,126.393607,126.211428,126.672857,0.1675301798973661
matmul_1536x2560x2048,1536,2560,2048,162.319018,162.102858,162.48,0.11369781331425581
matmul_1536x2560x2560,1536,2560,2560,165.9951517,165.901429,166.127143,0.06223465864514307
matmul_1536x2560x3072,1536,2560,3072,194.4634554,194.228661,194.551518,0.09190959394269813
matmul_1536x2560x3584,1536,2560,3584,243.0421428,242.840089,243.32866,0.1630548907520997
matmul_1536x2560x4096,1536,2560,4096,251.5464376,251.397143,251.604286,0.0607041831145114
matmul_1536x3072x1024,1536,3072,1024,98.5504108,98.388572,98.744286,0.1130892276653954
matmul_1536x3072x1536,1536,3072,1536,136.7980178,136.611518,136.922768,0.1148482801581677
matmul_1536x3072x2048,1536,3072,2048,184.8792946,184.792946,184.964286,0.05287028439113709
matmul_1536x3072x2560,1536,3072,2560,221.75370519999998,221.625714,222.104196,0.16229454961739262
matmul_1536x3072x3072,1536,3072,3072,220.9301429,220.751428,221.197053,0.14092676573427537
matmul_1536x3072x3584,1536,3072,3584,236.6374643,236.355804,236.812946,0.13191339285897585
matmul_1536x3072x4096,1536,3072,4096,285.5385892,285.331429,285.722947,0.12312023353417093
matmul_1536x3584x1024,1536,3584,1024,116.9608751,116.74,117.228571,0.16984478210115628
matmul_1536x3584x1536,1536,3584,1536,162.6971431,162.467054,162.804286,0.1436006413761983
matmul_1536x3584x2048,1536,3584,2048,174.7923037,174.497143,174.902768,0.11460495700550688
matmul_1536x3584x2560,1536,3584,2560,241.4604643,241.37,241.527143,0.05095678106886297
matmul_1536x3584x3072,1536,3584,3072,246.6008928,246.462857,246.807143,0.10492886538751064
matmul_1536x3584x3584,1536,3584,3584,285.0990002,284.89134,285.26009,0.12121013652495345
matmul_1536x3584x4096,1536,3584,4096,318.4019909,318.294286,318.542857,0.06259109619400405
matmul_1536x4096x1024,1536,4096,1024,130.1874195,130.027143,130.437143,0.18234074567947228
matmul_1536x4096x1536,1536,4096,1536,181.0237145,180.885715,181.16,0.08692396351888902
matmul_1536x4096x2048,1536,4096,2048,275.97611589999997,275.725625,276.112768,0.11583686697867933
matmul_1536x4096x2560,1536,4096,2560,275.1635625,275.064197,275.349911,0.08755972469788065
matmul_1536x4096x3072,1536,4096,3072,274.5824551,274.410089,274.761518,0.14132571514644474
matmul_1536x4096x3584,1536,4096,3584,313.4945804,313.281339,313.654375,0.10134800518915899
matmul_1536x4096x4096,1536,4096,4096,360.6868392,360.511429,360.865714,0.12722742239242876
matmul_2048x1024x1024,2048,1024,1024,55.145616000000004,55.004375,55.358571,0.13282343157825047
matmul_2048x1024x1536,2048,1024,1536,77.3046874,77.155625,77.438571,0.09521595754353954
matmul_2048x1024x2048,2048,1024,2048,99.4000178,99.185804,99.591518,0.14949171516233617
matmul_2048x1024x2560,2048,1024,2560,88.1273036,88.007143,88.401429,0.12266063100295937
matmul_2048x1024x3072,2048,1024,3072,102.639143,102.52866,102.841518,0.0907235522403678
matmul_2048x1024x3584,2048,1024,3584,117.5518839,117.331429,117.731429,0.15088940233197234
matmul_2048x1024x4096,2048,1024,4096,132.0347054,131.811429,132.4,0.1901694727325565
matmul_2048x1536x1024,2048,1536,1024,81.20610690000001,81.042857,81.517053,0.16440781831264226
matmul_2048x1536x1536,2048,1536,1536,91.6792587,91.428572,91.881339,0.14206997456030773
matmul_2048x1536x2048,2048,1536,2048,147.0168661,146.852947,147.214286,0.13545806106725147
matmul_2048x1536x2560,2048,1536,2560,143.80941090000002,143.574286,143.962768,0.16622682332848
matmul_2048x1536x3072,2048,1536,3072,168.4084196,168.210089,168.617054,0.17784082586102598
matmul_2048x1536x3584,2048,1536,3584,154.25703579999998,154.087232,154.472858,0.1623922194392343
matmul_2048x1536x4096,2048,1536,4096,167.6791249,167.55,167.977143,0.15724735200345832
matmul_2048x2048x1024,2048,2048,1024,107.2671517,107.118482,107.567143,0.1724444587448063
matmul_2048x2048x1536,2048,2048,1536,150.989259,150.84,151.231429,0.1615131092188973
matmul_2048x2048x2048,2048,2048,2048,141.6861519,141.478482,141.822858,0.11185052877980028
matmul_2048x2048x2560,2048,2048,2560,171.0230178,170.698661,171.251428,0.1955010151589486
matmul_2048x2048x3072,2048,2048,3072,200.5098662,200.277143,200.727143,0.16187456573107295
matmul_2048x2048x3584,2048,2048,3584,230.4921608,230.302946,230.745714,0.16737273432790958
matmul_2048x2048x4096,2048,2048,4096,259.33042869999997,259.114285,259.588661,0.17647315434116848
matmul_2048x2560x1024,2048,2560,1024,111.8211427,111.635714,111.984286,0.1438232069714997
matmul_2048x2560x1536,2048,2560,1536,149.7492944,149.655803,149.857232,0.06507479646991003
matmul_2048x2560x2048,2048,2560,2048,191.5514643,191.414285,191.734375,0.10478404856131568
matmul_2048x2560x2560,2048,2560,2560,246.7218842,246.43134,246.888661,0.11793879879817112
matmul_2048x2560x3072,2048,2560,3072,244.2509823,244.022857,244.374375,0.13311106863489008
matmul_2048x2560x3584,2048,2560,3584,283.3394285,283.048571,283.562857,0.1909543263769023
matmul_2048x2560x4096,2048,2560,4096,316.0988662,315.962857,316.280089,0.13141620606539664
matmul_2048x3072x1024,2048,3072,1024,119.0668304,118.877143,119.168572,0.10882707406216871
matmul_2048x3072x1536,2048,3072,1536,171.4113035,171.251428,171.561428,0.08440350885840649
matmul_2048x3072x2048,2048,3072,2048,246.3508481,246.245714,246.494286,0.08715798634720485
matmul_2048x3072x2560,2048,3072,2560,259.9799644,259.665625,260.288482,0.20979919620341897
matmul_2048x3072x3072,2048,3072,3072,284.1765447,283.972947,284.412858,0.1578152490745412
matmul_2048x3072x3584,2048,3072,3584,324.5084465,324.371518,324.662857,0.1003944216624852
matmul_2048x3072x4096,2048,3072,4096,398.2648574,398.074286,398.440089,0.09426965800676512
matmul_2048x3584x1024,2048,3584,1024,140.9524197,140.700089,141.119911,0.12967757272649125
matmul_2048x3584x1536,2048,3584,1536,194.3621609,194.091429,194.530089,0.11446335725603353
matmul_2048x3584x2048,2048,3584,2048,286.4967054,286.364375,286.585714,0.0692293824955196
matmul_2048x3584x2560,2048,3584,2560,312.8041159,312.661429,312.971429,0.11323397961689038
matmul_2048x3584x3072,2048,3584,3072,322.7172857,322.564197,322.917143,0.15124968407317382
matmul_2048x3584x3584,2048,3584,3584,426.76399119999996,426.437143,426.899911,0.15256191454385346
matmul_2048x3584x4096,2048,3584,4096,480.0883124,479.814285,480.268571,0.1726147244203478
matmul_2048x4096x1024,2048,4096,1024,157.2625267,157.071339,157.374286,0.10996616674742518
matmul_2048x4096x1536,2048,4096,1536,255.61686600000002,255.385715,255.782946,0.13952509282323888
