kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev
matmul_3584x4096x4096,3584,4096,4096,877.5318572,877.249911,877.718572,0.15398693458486457
matmul_4096x1024x1024,4096,1024,1024,107.2045712,107.092857,107.452768,0.13684812675598718
matmul_4096x1024x1536,4096,1024,1536,113.7575983,113.66,113.831518,0.05618046928930755
matmul_4096x1024x2048,4096,1024,2048,141.5477502,141.328661,141.759911,0.16626639401260412
matmul_4096x1024x2560,4096,1024,2560,170.8626786,170.608482,170.988661,0.12259884432589094
matmul_4096x1024x3072,4096,1024,3072,191.0572856,190.869911,191.28,0.1355749318783656
matmul_4096x1024x3584,4096,1024,3584,218.40590179999998,218.245715,218.608661,0.1476430523321591
matmul_4096x1024x4096,4096,1024,4096,245.77432149999999,245.557232,245.942858,0.15582043343131016
matmul_4096x1536x1024,4096,1536,1024,128.6127053,128.538572,128.781429,0.09425786850626706
matmul_4096x1536x1536,4096,1536,1536,178.5291249,178.331429,178.702857,0.12214515414269832
matmul_4096x1536x2048,4096,1536,2048,241.2837055,241.061518,241.404197,0.10267758115928702
matmul_4096x1536x2560,4096,1536,2560,218.0577144,217.962857,218.278661,0.11461657401401748
matmul_4096x1536x3072,4096,1536,3072,273.81242860000003,273.62009,274.025715,0.12986768969754586
matmul_4096x1536x3584,4096,1536,3584,302.0987412,301.827143,302.32,0.159939157801963
matmul_4096x1536x4096,4096,1536,4096,337.7652857,337.587053,337.951339,0.1440630328062823
matmul_4096x2048x1024,4096,2048,1024,152.9588751,152.804197,153.115804,0.12949991775926553
matmul_4096x2048x1536,4096,2048,1536,221.9297143,221.765714,222.042857,0.09375492185486194
matmul_4096x2048x2048,4096,2048,2048,264.9085625,264.705715,265.138482,0.14732980921144392
matmul_4096x2048x2560,4096,2048,2560,304.5165982,304.351429,304.777143,0.17252432426685155
matmul_4096x2048x3072,4096,2048,3072,377.1407053,376.935714,377.415625,0.19565474314325806
matmul_4096x2048x3584,4096,2048,3584,431.7205981,431.537142,432.055804,0.1920360361144368
matmul_4096x2048x4096,4096,2048,4096,486.0144464,485.832947,486.237143,0.1662699722514211
matmul_4096x2560x1024,4096,2560,1024,177.21014300000002,176.972767,177.381429,0.16219115096220205
matmul_4096x2560x1536,4096,2560,1536,269.9128303,269.821429,270.141518,0.09068999843796417
matmul_4096x2560x2048,4096,2560,2048,330.26026790000003,329.952768,330.422946,0.15780662443175789
matmul_4096x2560x2560,4096,2560,2560,384.9274107,384.748482,385.14,0.16253903520421753
matmul_4096x2560x3072,4096,2560,3072,452.0342768,451.642768,452.227143,0.15295892673002498
matmul_4096x2560x3584,4096,2560,3584,534.2988660999999,534.107232,534.435715,0.12699995233548436
matmul_4096x2560x4096,4096,2560,4096,606.7805625999999,606.548571,607.008661,0.19238683564639925
matmul_4096x3072x1024,4096,3072,1024,217.0833838,216.908571,217.258482,0.15133905601793501
matmul_4096x3072x1536,4096,3072,1536,352.3375626,352.157143,352.5,0.10837122128354898
matmul_4096x3072x2048,4096,3072,2048,394.5461249,394.362768,394.751518,0.15273835337773717
matmul_4096x3072x2560,4096,3072,2560,453.7542949,453.58009,453.968572,0.14186168191466084
matmul_4096x3072x3072,4096,3072,3072,563.1400089,563.045625,563.501518,0.15608117397650176
matmul_4096x3072x3584,4096,3072,3584,597.9105534,597.77134,597.968571,0.06235937459632366
matmul_4096x3072x4096,4096,3072,4096,726.4195536,726.308482,726.524197,0.07160675794642625
matmul_4096x3584x1024,4096,3584,1024,258.120098,258.018482,258.231428,0.06910894827251579
matmul_4096x3584x1536,4096,3584,1536,338.2359908,337.951428,338.372768,0.11115531430370217
matmul_4096x3584x2048,4096,3584,2048,468.513134,468.442857,468.608572,0.04774853649647678
matmul_4096x3584x2560,4096,3584,2560,516.4184288,516.142857,516.548483,0.11580357747667039
matmul_4096x3584x3072,4096,3584,3072,602.6384375,602.391429,602.851518,0.139491785536131
matmul_4096x3584x3584,4096,3584,3584,723.4512679,723.288482,723.571429,0.08740070691862252
matmul_4096x3584x4096,4096,3584,4096,790.9404285,790.794197,791.127143,0.14923607993396779
matmul_4096x4096x1024,4096,4096,1024,287.7001609,287.484375,287.938572,0.15051391385624582
matmul_4096x4096x1536,4096,4096,1536,438.2564197,438.028572,438.525804,0.15938704921950123
matmul_4096x4096x2048,4096,4096,2048,524.3764286,524.154286,524.657143,0.15229788971267472
matmul_4096x4096x2560,4096,4096,2560,602.9828482,602.827143,603.215714,0.15473749149218768
matmul_4096x4096x3072,4096,4096,3072,749.3671162,749.174285,749.577054,0.13654287375017088
matmul_4096x4096x3584,4096,4096,3584,858.2967053,858.071518,858.46,0.16199050690501152
matmul_4096x4096x4096,4096,4096,4096,966.6271429999999,966.307143,966.831429,0.2305365559048019
