shape_idx ,dim_0  ,dim_1 ,dim_2 ,size   ,actual_latency      ,predicted_latency   ,absolute_error        ,relative_error_pct
        0 ,     8 ,  186 ,    4 ,  5952 , 1.1295982          , 1.1083435948903586 ,0.02125460510964139   , 1.881607558301827
        1 ,     2 ,    3 ,    3 ,    18 , 0.9596336          , 0.926611856618132  ,0.03302174338186803   , 3.4410782804883064
        2 ,  2157 ,    1 ,    1 ,  2157 , 0.9769016999999998 , 0.9606393648188328 ,0.01626233518116693   , 1.6646849095632588
        3 ,    28 ,    7 ,    1 ,   196 , 0.869991           , 0.9035706161307255 ,0.033579616130725576  , 3.8597659206503954
        4 ,     2 ,    3 ,   16 ,    96 , 0.9457501          , 0.9284562276639201 ,0.01729387233607993   , 1.8285879468667177
        5 ,    94 ,   13 ,    1 ,  1222 , 0.9167233          , 0.9568259096293418 ,0.04010260962934176   , 4.37455987312003
        6 ,     5 ,    2 ,    2 ,    20 , 0.9014372          , 0.9096052148912663 ,0.008168014891266284  , 0.9061102527459798
        7 , 50127 ,    1 ,    1 , 50127 , 1.8153036          , 1.8884694898725554 ,0.07316588987255535   , 4.03050431192641
        8 ,    16 ,    1 ,    1 ,    16 , 0.8529553999999999 , 0.858791793953216  ,0.005836393953216112  , 0.6842554667238303
        9 ,     7 ,    3 ,    1 ,    21 , 0.9056966          , 0.8719575920148401 ,0.03373900798515983   , 3.725199805890828
       10 ,  4329 ,    1 ,    1 ,  4329 , 0.9844376          , 1.0094290724665584 ,0.024991472466558418  , 2.5386548082436526
       11 ,     1 , 2443 ,    1 ,  2443 , 1.1651338999999998 , 1.2811219191147771 ,0.1159880191147773    , 9.954908969241846
       12 ,   498 ,    1 ,    1 ,   498 , 0.8598838000000001 , 0.8759195223142157 ,0.016035722314215572  , 1.8648708481559453
       13 ,     1 ,   14 ,    1 ,    14 , 0.8390894999999998 , 0.8529629238231151 ,0.013873423823115294  , 1.6533902310915936
       14 ,     6 ,    3 ,    4 ,    72 , 0.9437768          , 0.9580337106285314 ,0.014256910628531405  , 1.510623129169037
       15 ,     1 ,    5 ,    1 ,     5 , 0.8393038          , 0.8590377913323126 ,0.019733991332312573  , 2.3512334070586323
       16 ,    14 ,    3 ,   48 ,  2016 , 0.9980268          , 1.0756471080438432 ,0.07762030804384323   , 7.77737712492723
       17 ,404122 ,    1 ,    1 ,404122 , 8.0724551          , 8.356901315954616  ,0.28444621595461506   , 3.523664268564529
       18 ,     2 ,    7 ,    1 ,    14 , 0.8394463999999999 , 0.8623528695486593 ,0.02290646954865938   , 2.7287590427047377
       19 ,     4 ,   10 ,    2 ,    80 , 0.9235448000000002 , 0.9481335648738641 ,0.024588764873863966  , 2.6624333626115337
       20 ,     2 ,    2 ,    2 ,     8 , 0.8855714999999998 , 0.8844534104393001 ,0.0011180895606996977 , 0.12625627187637561
       21 ,     3 ,    7 ,    1 ,    21 , 0.8651696          , 0.885940425089792  ,0.020770825089792     , 2.4007807359149003
       22 ,     5 ,    3 ,   15 ,   225 , 0.9738659000000002 , 0.951637025735936  ,0.02222887426406417   , 2.2825395430792024
       23 ,  4297 ,    1 ,    1 ,  4297 , 0.9695892          , 0.9989224277066258 ,0.02933322770662572   , 3.0253253343401223
       24 ,     5 ,    5 ,    1 ,    25 , 0.8944105999999998 , 0.883771160828023  ,0.01063943917197685   , 1.1895475268268123
       25 ,    23 ,    2 ,    1 ,    46 , 0.8392676          , 0.8449504851158326 ,0.005682885115832592  , 0.6771243302890034
       26 ,     6 ,  253 ,    3 ,  4554 , 1.0714106          , 1.0858760217324808 ,0.014465421732480666  , 1.3501286745231627
       27 , 29613 ,   12 ,    1 ,355356 , 9.2842856          ,10.06422594994809   ,0.7799403499480899    , 8.400650125929882
       28 ,453390 ,    1 ,    1 ,453390 , 8.989839100000001  ,10.34486440912173   ,1.3550253091217286    ,15.072853852542572
       29 ,     2 ,   11 ,    1 ,    22 , 0.8392590999999999 , 0.8686186722259536 ,0.029359572225953645  , 3.4982727295960983
       30 ,    13 ,   64 ,    5 ,  4160 , 1.1168662          , 1.0648363601370257 ,0.05202983986297438   , 4.658556223026033
       31 ,     1 , 1373 ,    1 ,  1373 , 1.1085622000000002 , 1.0791732646736412 ,0.029388935326359     , 2.6510858232726133
       32 ,     6 ,    1 ,    1 ,     6 , 0.8378571000000001 , 0.8541516769538359 ,0.016294576953835738  , 1.944791892774524
       33 ,     3 ,   70 ,    1 ,   210 , 0.861018           , 0.8784435698542681 ,0.01742556985426813   , 2.0238333988683315
       34 ,     3 ,33349 ,    1 ,100047 , 4.973597999999999  , 9.669936074005347  ,4.696338074005348     ,94.42536517839498
       35 ,     1 ,    9 ,    1 ,     9 , 0.8381608          , 0.8613045959395921 ,0.023143795939592038  , 2.7612596460717365
       36 ,    25 ,    1 ,    1 ,    25 , 0.837875           , 0.8499010946694402 ,0.012026094669440157  , 1.4353089266823997
       37 ,    25 ,   25 ,    1 ,   625 , 0.9474374          , 0.9608154650911563 ,0.013378065091156355  , 1.4120262817529003
       38 ,    40 ,    7 ,    1 ,   280 , 0.8854108          , 0.9152559006475067 ,0.029845100647506673  , 3.3707631132923463
       39 ,  4515 ,    1 ,    1 ,  4515 , 1.0168663          , 1.0094290724665584 ,0.007437227533441559  , 0.7313869614364799
       40 ,     8 ,  266 ,    4 ,  8512 , 1.2734555          , 1.131012444338218  ,0.14244305566178217   ,11.185554238980643
       41 ,     4 ,   18 ,    7 ,   504 , 1.0517322          , 1.0503797196473126 ,0.001352480352687424  , 0.12859550679226367
       42 ,  4427 ,    1 ,    1 ,  4427 , 1.0008746999999998 , 1.0094290724665584 ,0.008554372466558657  , 0.8546896496193439
       43 ,    30 ,17476 ,    1 ,524280 ,10.815723099999998  ,12.73874061810915   ,1.9230175181091518    ,17.779833121921847
       44 ,     2 ,    5 ,    4 ,    40 , 0.9037144          , 0.9272636309299791 ,0.02354923092997907   , 2.6058266782048696
       45 ,   494 ,    5 ,    1 ,  2470 , 0.9543211          , 1.0040118329131262 ,0.0496907329131262    , 5.206919653471584
       46 ,     2 ,    3 ,    2 ,    12 , 0.8845713999999999 , 0.9039652048912908 ,0.019393804891290944  , 2.1924521741592535
       47 ,     4 ,   18 ,    2 ,   144 , 0.9655801          , 0.9575375432550497 ,0.008042556744950358  , 0.8329248650578401
       48 ,    31 ,    8 ,   11 ,  2728 , 1.1170178          , 1.2318834151074858 ,0.11486561510748583   ,10.283239453076382
       49 ,    14 ,  266 ,    2 ,  7448 , 1.4781338000000002 , 1.1644347851158536 ,0.31369901488414653   ,21.222639985916462
